Rank,University,Points
1,Heriot-Watt University,97.0
2,University of Southampton,82.5
3,Queen's University Belfast,81.55
4,Oxford Brookes University,81.3
5,University of Nottingham,78.48
6,Karlstad University,76.35
7,University of Strathclyde,76.09
8,Ryerson University,75.0
9,University of Warwick,74.6
10,Fachhochschule Joanneum Graz,74.0
11,Warsaw University of Technology,74.0
12,University Of Hertfordshire,71.51
13,University of Washington,70.7
14,Hochschule Karlsruhe - Technik und Wirtschaft,70.0
15,University of Manitoba,69.4
16,University of Oxford,69.3
17,Monash University,69.08
18,Politecnico di Milano,68.78
19,Loughborough University,68.33
20,University of Seville,68.24
21,TU Delft,68.04
22,University of Auckland,67.58
23,University of Colorado - Colorado Springs,67.3
24,Universidade Estadual de Campinas,67.25
25,Dwarkadas. J. Sanghvi College of Engineering,67.24
26,Nagoya University,66.95
27,Carnegie Mellon University,66.9
28,University of Pennsylvania,66.36
29,Hochschule Pforzheim,65.9
30,University of Kansas,65.6
31,University of the Basque Country,65.45
32,University of Toronto,65.2
33,Massachusetts Institute of Technology,64.72
34,McGill University,64.17
35,Karlsruhe Institute of Technology,64.04
36,Technische Universität Dresden,64.02
37,Universität Stuttgart,64.0
38,Rheinisch-Westfälische Technische Hochschule Aachen,63.94
39,Aristotle University of Thessaloniki,63.83
40,Università degli studi di Padova,63.68
41,Wroclaw University of Technology,63.68
42,MIT World Peace University,63.67
43,Sardar Patel College of Engineering Mumbai,63.67
44,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,63.54
45,University of Canterbury,63.48
46,National Technical University of Athens,63.44
47,GFR DHBW Ravensburg & Oregon State University,63.36
48,Duale Hochschule Baden-Württemberg Stuttgart,63.01
49,Western Washington University,63.0
50,Linköping University,62.98
51,ETH Zürich,62.5
52,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),62.41
53,Universidade de Lisboa - Instituto Superior Técnico,62.07
54,Gadjah Mada University,61.94
55,Missouri University of Science and Technology,61.7
56,Fachhochschule München,61.51
57,Ulm University of Applied Sciences,61.48
58,University of Birmingham,61.4
59,Technische Universiteit Eindhoven,61.33
60,University of Michigan - Ann Arbor,61.32
61,Olin College of Engineering,61.23
62,Ghent University,61.14
63,Norwegian University of Science and Technology,60.89
64,Western University,60.82
65,University of Wisconsin-Madison,60.8
66,University of Southern California,60.65
67,Georgia Institute of Technology,60.17
68,California Baptist University,60.15
69,Università degli Studi di Parma,59.88
70,K. J. Somaiya College of Engineering,59.74
71,University of Queensland,59.7
72,McMaster University,59.65
73,University of New Mexico,59.35
74,Technische Universität Bergakademie Freiberg,59.34
75,North Carolina State University,59.3
76,Westsächsische Hochschule Zwickau,59.27
77,Technische Universität Chemnitz,59.15
78,Delhi Technological University,59.1
79,Technical University of Munich,59.06
80,Hochschule Mannheim,58.83
81,Zürcher Hochschule für Angewandte Wissenschaften,58.74
82,Cairo University,58.7
83,University of Maryland,58.7
84,University of Technology Sydney,58.65
85,Universidad Pontificia Comillas,58.08
86,École de Technologie Superieure,58.0
87,Alma Mater Studiorum - Università di Bologna,57.86
88,Istanbul Technical University,57.77
89,Sepuluh Nopember Institute of Technology,57.72
90,Universität Bayreuth,57.59
91,National Tsing Hua University,57.55
92,École Polytechnique Fédérale de Lausanne,57.28
93,Democritus University of Thrace,57.27
94,University of Sussex,57.25
95,Tallinn TU UAS,57.17
96,California State Polytechnic University - San Luis Obispo,57.14
97,Technische Universität Darmstadt,57.14
98,Technische Universität Wien,56.92
99,PSG Institute of Technology and Applied Research,56.87
100,Leopold-Franzens-Universität Innsbruck,56.69
101,Brno University of Technology,56.55
102,Coventry University,56.4
103,Technical University of Denmark,56.4
104,University of Bath,56.16
105,Czech Technical University in Prague,56.15
106,VIT University - Chennai,55.9
107,R.V.College of Engineering,55.85
108,University of British Columbia - Vancouver,55.75
109,Cornell University,55.6
110,Purdue University - West Lafayette,55.2
111,Ostfalia University of Applied Sciences,55.16
112,Liverpool John Moores University,55.15
113,The University of Michigan-Dearborn,55.1
114,Fachhochschule für Wirtschaft und Technik,54.74
115,University of Wollongong,54.74
116,Politecnico di Torino,54.62
117,Texas A&M University,54.5
118,Ostbayerische Technische Hochschule Regensburg,54.39
119,University of Adelaide,54.36
120,California Institute of Technology,54.25
121,Ain Shams University,54.1
122,Kingston University,54.07
123,University of Iceland,54.07
124,Universität Paderborn,54.01
125,Pakistan Institute of Engineering & Applied Sciences,53.8
126,Smt. Kashibai Navale College of Engineering,53.8
127,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,53.72
128,Leibniz Universität Hannover,53.71
129,MCT's Rajiv Gandhi Institute of Technology,53.63
130,Technische Universität Berlin,53.42
131,Fachhochschule Kiel,53.41
132,Tongji University,53.15
133,Hochschule Bonn-Rhein-Sieg,53.14
134,Hochschule für angewandte Wissenschaften Augsburg,53.14
135,École Polytechnique de Montréal,52.85
136,Rutgers The State University of New Jersey,52.8
137,Universidad Politécnica de Madrid (UPM),52.6
138,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),52.41
139,Drexel University,52.4
140,University of Ontario Institute of Technology,52.4
141,KU Leuven - Group T Campus,52.39
142,University of North Carolina at Asheville,52.35
143,Deggendorf Institute of Technology,52.28
144,RMIT University,51.87
145,Hochschule für Angewandte Wissenschaften Hof,51.74
146,Indian Institute of Technology Roorkee,51.7
147,Universidad Politecnica Salesiana,51.6
148,University of Illinois at Urbana-Champaign,51.52
149,University of Utah,51.5
150,Università degli Studi di Trento,51.34
151,Virginia Polytechnic Institute and State University,51.2
152,Otto-von-Guericke-Universität Magdeburg,51.11
153,University of Iowa,51.1
154,UAS Würzburg-Schweinfurt,50.77
155,San José State University,50.74
156,Hochschule Darmstadt UAS,50.68
157,TECNUN - University of Navarra,50.59
158,Technische Universität Hamburg,50.51
159,Pimpri Chinchwad College Of Engineering,50.41
160,University of Texas at Austin,50.4
161,Universidad Nacional Autónoma de México,50.3
162,Technische Universität Ilmenau,50.21
163,Indian Institute of Technology Bombay,50.07
164,University of Applied Sciences Ravensburg-Weingarten,49.8
165,University of Melbourne,49.5
166,Budapest University of Technology and Economics,49.21
167,Duale Hochschule Baden-Württemberg Mosbach,48.88
168,Slovak University of Technology in Bratislava,48.84
169,University of Zagreb,48.8
170,Swinburne University of Technology,48.79
171,Ben-Gurion University of the Negev,48.69
172,Technische Universität Kaiserslautern,48.55
173,Indian Institute of Technology Delhi,48.05
174,Hochschule Esslingen,47.9
175,Portland State University,47.9
176,Shizuoka Institute of Science and Technology,47.89
177,Concordia University,47.85
178,University of Surrey,47.64
179,University of Southern Denmark,47.55
180,Ruhr-Universität Bochum,47.47
181,Hochschule Aalen - Technik und Wirtschaft,47.3
182,Saarland University,47.3
183,Università degli Studi di Roma La Sapienza,47.27
184,National Cheng Kung University,47.26
185,Chalmers University of Technology,47.09
186,Université Laval,46.95
187,Technische Universität Dortmund,46.94
188,Kennesaw State University,46.93
189,Fachhochschule Konstanz,46.82
190,University of New South Wales,46.82
191,Ramaiah Institute of Technology,46.61
192,KTH Royal Institute of Technology,46.5
193,The Hague University of Applied Sciences,46.4
194,Helsinki Metropolia University of Applied Sciences,46.34
195,Beijing Institute of Technology,46.3
196,University of Patras,45.78
197,Escola d'Enginyeria de Barcelona Est. EEBE,45.67
198,Hochschule RheinMain,45.5
199,Georg-Simon-Ohm-Hochschule Nürnberg,45.49
200,Poznan University of Technology,45.12
201,University of Burgundy - ISAT,45.1
202,Central South University - Changsha,45.0
203,Guangdong University of Technology,45.0
204,Duale Hochschule Baden-Württemberg - Mannheim,44.94
205,Iwate University,44.8
206,Technische Universität Graz,44.33
207,Technische Hochschule Ingolstadt,44.24
208,UAS Kempten,44.23
209,Technische Hochschule Köln,44.11
210,Friedrich-Alexander-Universität Erlangen-Nürnberg,44.04
211,University of Bristol,43.85
212,Technische Universität Clausthal,43.65
213,University of California Irvine,43.6
214,Università degli Studi di Napoli Federico II,43.59
215,Fachhochschule Osnabrück,43.44
216,Bern University of Applied Sciences,43.35
217,University of Minnesota Twin Cities,43.3
218,San Diego State University,43.28
219,Toyohashi University of Technology,43.24
220,Universität Duisburg-Essen,43.23
221,Technical University of Cluj-Napoca,43.15
222,Universidad Politécnica de Cartagena,43.07
223,Universität Kassel,42.92
224,Hochschule Landshut,42.88
225,University of California Riverside,42.35
226,Tohoku University,42.32
227,Kookmin University,41.9
228,Instituto Superior de Engenharia de Lisboa,41.8
229,Kanagawa University,41.77
230,University of California Berkeley,41.5
231,SRM Institute of Science and Technology - Kattankulathur,41.49
232,The University of Newcastle,41.45
233,Jilin University,41.4
234,King Mongkut's University of Technology Thonburi,41.25
235,Liaoning University of Technology,40.97
236,Technische Hochschule Ostwestfalen-Lippe,40.41
237,VIT University - Vellore,40.34
238,Universität Siegen,40.31
239,University College Dublin,40.2
240,Universität Bremen,40.15
241,University of Cincinnati,39.85
242,Hochschule für Technik und Wirtschaft Mittweida,39.58
243,Technische Universität Braunschweig,38.73
244,Imperial College London,38.38
245,Seikei University,38.28
246,Università degli studi di Trieste,37.84
247,Thomas More Mechelen - De Nayer,37.21
248,Moscow State Automobile & Road Technical University - MADI,37.14
249,Hochschule Ruhr West - UAS,36.84
250,Rajshahi University of Engineering & Technology,36.71
251,AGH University of Science and Technology,36.24
252,The University of Akron,36.03
253,Universidad de Castilla-La Mancha,36.0
254,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),35.9
255,Toyota Technical College Nagoya,35.5
256,Harbin Institute of Technology at Weihai,35.38
257,Vrije Universiteit Brussel,35.22
258,Universidad de Oviedo,35.07
259,Hubei University of Automotive Technology,34.94
260,University of Western Australia,34.4
261,Belgorod state technological university named after V. G. Shukhov,34.0
262,University of Waterloo,33.9
263,University of Stavanger,33.73
264,University of Belgrade (Универзитет у Београду),33.63
265,University of Tasmania,32.8
266,University of Leicester,32.55
267,University of Ljubljana,31.93
268,University of Agder,31.75
269,Brunel University London,31.28
270,Queensland University of Technology,30.35
271,Yıldız Technical University,30.21
272,University of South Australia,30.15
273,Guangxi Science and Technology University Lushan College,29.21
274,Hochschule Niederrhein,28.37
275,Newcastle University,28.15
276,University of California Davis,27.1
277,Lancaster  University,26.82
278,Hochschule Düsseldorf,26.06
279,ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),25.7
280,Niigata Institute of Technology,24.87
281,Islamic Azad University of Karaj,23.4
282,Manchester Metropolitan University,22.2
283,Universität der Bundeswehr München,21.99
284,Rhein-Waal University of Applied Sciences,21.6
285,Kanagawa Institute of Technology,20.72
286,Hefei University of Technology,19.4
287,Daido Institute of Technology,18.75
288,University of Alcalá,1.92
289,Kyushu Institute of Technology,1.25
290,National Taipei University of Technology,0.0
291,University of California - Santa Cruz,0.0
292,University of Texas at San Antonio,0.0
