Rank,University,Points
1,Monash University,47.5
2,University of Adelaide,47.06
3,University of Queensland,28.16
4,University of Wollongong,28.03
5,RMIT University,27.6
6,Swinburne University of Technology,24.62
7,University of Technology Sydney,16.88
8,University of Western Australia,15.33
9,The University of Newcastle,13.74
10,University of Tasmania,9.29
11,Queensland University of Technology,0.0
12,University of Melbourne,0.0
13,University of New South Wales,0.0
14,University of South Australia,0.0
