Rank,University,Lowest Place,#
1,Monash University,1st,1
2,Swinburne University of Technology,1st,1
3,The University of Newcastle,2nd,1
4,RMIT University,3rd,1
5,University of New South Wales,3rd,1
6,University of Western Australia,4th,1
7,University of Wollongong,4th,1
8,University of Adelaide,5th,1
9,University of Queensland,6th,2
10,University of Technology Sydney,6th,1
11,University of Melbourne,7th,2
12,University of Tasmania,8th,1
13,University of South Australia,11th,1
14,Queensland University of Technology,N/A,0
