Rank,University,Lowest Place,#
1,University of Toronto,1st,1
2,Université Laval,1st,1
3,École Polytechnique de Montréal,1st,1
4,University of British Columbia - Vancouver,2nd,1
5,McGill University,3rd,2
6,Western University,3rd,1
7,University of Manitoba,5th,1
8,Concordia University,7th,1
9,École de Technologie Superieure,9th,2
10,Dalhousie University,N/A,0
11,McMaster University,N/A,0
12,Ryerson University,N/A,0
13,Toronto Metropolitan University,N/A,0
14,University of Ontario Institute of Technology,N/A,0
15,University of Victoria,N/A,0
16,University of Waterloo,N/A,0
17,University of Windsor,N/A,0
