Rank,University,Points
1,École de Technologie Superieure,543.0
2,University of Toronto,523.75
3,McGill University,433.0
4,École Polytechnique de Montréal,424.22
5,Université Laval,379.78
6,Western University,290.6
7,Concordia University,283.0
8,University of British Columbia - Vancouver,255.33
9,University of Manitoba,218.4
10,Ryerson University,212.0
11,Toronto Metropolitan University,192.0
12,University of Waterloo,181.67
13,Dalhousie University,168.0
14,McMaster University,166.0
15,University of Ontario Institute of Technology,135.67
16,University of Windsor,114.5
17,University of Victoria,104.0
