Rank,University,Points
1,Universität Stuttgart,61.58
2,Ulm University of Applied Sciences,60.47
3,Duale Hochschule Baden-Württemberg Stuttgart,55.85
4,Technical University of Munich,48.13
5,Karlsruhe Institute of Technology,47.02
6,Westsächsische Hochschule Zwickau,43.61
7,Technische Universität Dresden,43.39
8,Hochschule Bonn-Rhein-Sieg,39.19
9,Ostfalia University of Applied Sciences,37.81
10,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),36.7
11,Hochschule für angewandte Wissenschaften Augsburg,35.9
12,Fachhochschule München,33.18
13,Rheinisch-Westfälische Technische Hochschule Aachen,31.2
14,UAS Würzburg-Schweinfurt,30.75
15,Technische Universität Hamburg,30.45
16,Technische Universität Bergakademie Freiberg,29.54
17,Georg-Simon-Ohm-Hochschule Nürnberg,28.32
18,Technische Universität Darmstadt,25.51
19,Universität Bayreuth,24.14
20,Fachhochschule Kiel,22.07
21,Technische Hochschule Ingolstadt,21.12
22,Leibniz Universität Hannover,19.89
23,Universität Siegen,19.87
24,Hochschule Esslingen,19.55
25,Ostbayerische Technische Hochschule Regensburg,18.9
26,Technische Universität Clausthal,17.69
27,Fachhochschule Osnabrück,17.02
28,Universität Paderborn,16.4
29,Deggendorf Institute of Technology,16.21
30,Hochschule RheinMain,16.07
31,Hochschule Mannheim,13.48
32,Technische Hochschule Köln,11.82
33,Hochschule Aalen - Technik und Wirtschaft,10.82
34,Technische Universität Braunschweig,8.56
35,Duale Hochschule Baden-Württemberg - Mannheim,8.12
36,Technische Universität Kaiserslautern,8.0
37,Friedrich-Alexander-Universität Erlangen-Nürnberg,6.93
38,Hochschule Pforzheim,6.85
39,Fachhochschule für Wirtschaft und Technik,6.4
40,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,5.53
41,Hochschule Landshut,4.17
42,Technische Universität Ilmenau,3.94
43,Hochschule Ruhr West - UAS,3.48
44,Technische Universität Berlin,2.81
45,Hochschule für Angewandte Wissenschaften Hof,2.28
46,Saarland University,1.75
47,Fachhochschule Konstanz,1.17
48,Universität Duisburg-Essen,0.54
49,Universität Bremen,0.44
50,Duale Hochschule Baden-Württemberg Mosbach,0.0
51,Hochschule Darmstadt UAS,0.0
52,Hochschule Düsseldorf,0.0
53,Hochschule für Technik und Wirtschaft Mittweida,0.0
54,Hochschule Karlsruhe - Technik und Wirtschaft,0.0
55,Hochschule Niederrhein,0.0
56,Otto-von-Guericke-Universität Magdeburg,0.0
57,Rhein-Waal University of Applied Sciences,0.0
58,Ruhr-Universität Bochum,0.0
59,Technische Hochschule Ostwestfalen-Lippe,0.0
60,Technische Universität Chemnitz,0.0
61,Technische Universität Dortmund,0.0
62,UAS Kempten,0.0
63,University of Applied Sciences Ravensburg-Weingarten,0.0
64,Universität der Bundeswehr München,0.0
65,Universität Kassel,0.0
