Rank,University,Lowest Place,#
1,Universität Stuttgart,1st,12
2,Technical University of Munich,1st,10
3,Karlsruhe Institute of Technology,1st,7
4,Westsächsische Hochschule Zwickau,1st,6
5,Duale Hochschule Baden-Württemberg Stuttgart,1st,3
6,Hochschule Bonn-Rhein-Sieg,1st,3
7,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,2
8,Rheinisch-Westfälische Technische Hochschule Aachen,1st,2
9,Fachhochschule München,1st,1
10,Hochschule Esslingen,1st,1
11,Technische Universität Berlin,1st,1
12,Technische Universität Dresden,1st,1
13,Technische Hochschule Ingolstadt,2nd,1
14,Technische Hochschule Köln,2nd,1
15,Technische Universität Darmstadt,2nd,1
16,Universität Bayreuth,2nd,1
17,Fachhochschule Kiel,3rd,1
18,Leibniz Universität Hannover,3rd,1
19,Technische Universität Hamburg,3rd,1
20,UAS Würzburg-Schweinfurt,3rd,1
21,Technische Universität Bergakademie Freiberg,4th,4
22,Georg-Simon-Ohm-Hochschule Nürnberg,4th,1
23,Universität Paderborn,4th,1
24,Universität Siegen,4th,1
25,Ostfalia University of Applied Sciences,5th,2
26,Duale Hochschule Baden-Württemberg - Mannheim,5th,1
27,Hochschule Aalen - Technik und Wirtschaft,5th,1
28,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,5th,1
29,Hochschule RheinMain,5th,1
30,Technische Hochschule Augsburg,5th,1
31,Universität Duisburg-Essen,5th,1
32,Deggendorf Institute of Technology,6th,1
33,Friedrich-Alexander-Universität Erlangen-Nürnberg,6th,1
34,Technische Universität Clausthal,7th,2
35,Fachhochschule Osnabrück,7th,1
36,Hochschule Mannheim,7th,1
37,Hochschule Pforzheim,7th,1
38,University of Applied Sciences Ravensburg-Weingarten,7th,1
39,Hochschule Ruhr West - UAS,8th,2
40,Ostbayerische Technische Hochschule Regensburg,8th,2
41,Ulm University of Applied Sciences,8th,1
42,Hochschule für Angewandte Wissenschaften Hof,9th,2
43,Hochschule Landshut,9th,1
44,Hochschule Karlsruhe,10th,2
45,Fachhochschule Konstanz,10th,1
46,Hochschule für Angewandte Wissenschaften Hamburg,10th,1
47,Saarland University,10th,1
48,Technische Universität Braunschweig,10th,1
49,Technische Universität Ilmenau,10th,1
50,Hochschule Darmstadt UAS,11th,1
51,Universität Bremen,11th,1
52,Otto-von-Guericke-Universität Magdeburg,12th,1
53,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,12th,1
54,Fachhochschule für Wirtschaft und Technik,13th,2
55,Ruhr-Universität Bochum,13th,1
56,Hochschule Düsseldorf,16th,1
57,UAS Kempten,17th,1
58,Technische Universität Dortmund,18th,1
59,Universität Kassel,20th,1
60,Technische Universität Chemnitz,29th,1
61,Fachhochschule Stralsund,39th,1
62,Duale Hochschule Baden-Württemberg Mosbach,N/A,0
63,Hochschule für Technik und Wirtschaft Mittweida,N/A,0
64,Hochschule Niederrhein,N/A,0
65,Rhein-Waal University of Applied Sciences,N/A,0
66,Technische Hochschule Ostwestfalen-Lippe,N/A,0
67,Universität der Bundeswehr München,N/A,0
