Rank,University,Points
1,Universität Stuttgart,695.0
2,Duale Hochschule Baden-Württemberg Stuttgart,616.3
3,Westsächsische Hochschule Zwickau,611.16
4,Karlsruhe Institute of Technology,609.28
5,Technical University of Munich,561.46
6,Technische Universität Bergakademie Freiberg,540.42
7,Hochschule Bonn-Rhein-Sieg,500.44
8,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),475.96
9,Rheinisch-Westfälische Technische Hochschule Aachen,470.54
10,Fachhochschule München,451.76
11,Technische Universität Dresden,451.14
12,Hochschule Esslingen,409.26
13,Technische Hochschule Ingolstadt,390.95
14,Ostfalia University of Applied Sciences,390.89
15,Technische Universität Hamburg,386.48
16,Universität Bayreuth,376.05
17,Technische Universität Darmstadt,358.91
18,Fachhochschule Kiel,351.86
19,UAS Würzburg-Schweinfurt,342.33
20,Deggendorf Institute of Technology,339.54
21,Ulm University of Applied Sciences,339.5
22,Fachhochschule Osnabrück,335.94
23,Hochschule für angewandte Wissenschaften Augsburg,334.56
24,Universität Paderborn,320.14
25,Georg-Simon-Ohm-Hochschule Nürnberg,317.44
26,Technische Universität Berlin,311.14
27,Ostbayerische Technische Hochschule Regensburg,306.83
28,Hochschule für angewandte Wissenschaft und Kunst HildesheimHolzmindenGöttingen,303.8
29,Universität Siegen,300.26
30,Hochschule Pforzheim,289.0
31,Hochschule RheinMain,272.0
32,Leibniz Universität Hannover,271.36
33,University of Applied Sciences Ravensburg-Weingarten,261.33
34,Technische Universität Kaiserslautern,253.37
35,Duale Hochschule Baden-Württemberg - Mannheim,251.44
36,Technische Hochschule Köln,240.37
37,Technische Universität Clausthal,220.33
38,Otto-von-Guericke-Universität Magdeburg,217.33
39,Saarland University,209.67
40,Hochschule Mannheim,208.43
41,Fachhochschule Konstanz,208.0
42,Technische Universität Ilmenau,203.0
43,Technische Universität Braunschweig,201.56
44,Hochschule Aalen - Technik und Wirtschaft,198.47
45,Fachhochschule für Wirtschaft und Technik,194.74
46,Hochschule Niederrhein,191.5
47,Technische Universität Chemnitz,184.17
48,Hochschule Karlsruhe - Technik und Wirtschaft,182.0
49,Duale Hochschule Baden-Württemberg Mosbach,177.0
50,Friedrich-Alexander-Universität Erlangen-Nürnberg,175.0
51,Hochschule Landshut,173.67
52,Ruhr-Universität Bochum,167.8
53,UAS Kempten,165.0
54,Technische Universität Dortmund,156.0
55,Hochschule für Angewandte Wissenschaften Hof,153.5
56,Universität Duisburg-Essen,141.07
57,Universität Bremen,139.0
58,Universität Kassel,127.89
59,Hochschule für Technik und Wirtschaft Mittweida,126.33
60,Technische Hochschule Ostwestfalen-Lippe,125.0
61,Universität der Bundeswehr München,119.0
62,Hochschule Ruhr West - UAS,115.71
63,Hochschule Darmstadt UAS,112.0
64,Hochschule Düsseldorf,60.0
65,Rhein-Waal University of Applied Sciences,22.0
