Rank,University,Points
1,Pimpri Chinchwad College Of Engineering,728.0
2,K. J. Somaiya College of Engineering,328.0
3,MIT World Peace University,254.0
4,Smt. Kashibai Navale College of Engineering,248.0
5,Sardar Patel College of Engineering Mumbai,223.0
6,Ramaiah Institute of Technology,209.0
7,Indian Institute of Technology Bombay,204.67
8,Indian Institute of Technology Roorkee,195.0
9,Indian Institute of Technology Delhi,192.2
10,MCT's Rajiv Gandhi Institute of Technology,188.0
11,PSG Institute of Technology and Applied Research,184.0
12,Dwarkadas. J. Sanghvi College of Engineering,177.5
13,VIT University - Chennai,151.0
14,R.V.College of Engineering,132.0
15,SRM Institute of Science and Technology - Kattankulathur,131.0
16,Delhi Technological University,95.0
17,VIT University - Vellore,91.25
