Rank,University,Points
1,Indian Institute of Technology Bombay,1842
2,K. J. Somaiya College of Engineering,1483
3,Indian Institute of Technology Delhi,1133
4,Pimpri Chinchwad College Of Engineering,1125
5,Indian Institute of Technology Roorkee,383
6,VIT University - Vellore,365
7,Dwarkadas. J. Sanghvi College of Engineering,355
8,MIT World Peace University,254
9,Smt. Kashibai Navale College of Engineering,248
10,Sardar Patel College of Engineering Mumbai,223
11,Ramaiah Institute of Technology,209
12,MCT's Rajiv Gandhi Institute of Technology,188
13,PSG Institute of Technology and Applied Research,184
14,Delhi Technological University,158
15,VIT University - Chennai,151
16,R.V.College of Engineering,132
17,SRM Institute of Science and Technology - Kattankulathur,131
