Rank,University,Lowest Place,#
1,Nagoya University,10th,1
2,The University of Tokyo,21st,1
3,Tohoku University,24th,1
4,Shizuoka University,27th,1
5,Toyohashi University of Technology,27th,1
6,Iwate University,29th,1
7,Niigata Institute of Technology,30th,1
8,Nissan Automobile Technical College Kyoto,30th,1
9,Toyota Technical College Nagoya,30th,1
10,Shizuoka Institute of Science and Technology,33rd,1
11,Kanagawa University,63rd,1
12,Daido Institute of Technology,N/A,0
13,Kanagawa Institute of Technology,N/A,0
14,Kyushu Institute of Technology,N/A,0
15,Seikei University,N/A,0
16,Shizuoka Professional College of Automobile Technology,N/A,0
17,Tokyo University of Technology,N/A,0
