Rank,University,Points
1,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),26.96
2,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,23.69
3,University of the Basque Country,20.99
4,University of Seville,6.56
5,Universidad Pontificia Comillas,4.84
6,TECNUN - University of Navarra,1.96
7,Vitoria-University of the Basque Country,0.7
8,Universidad Politécnica de Madrid (UPM),0.39
9,Escola d'Enginyeria de Barcelona Est. EEBE,0.25
10,Universidad de Castilla-La Mancha,0.0
11,Universidad de Oviedo,0.0
12,Universidad Politécnica de Cartagena,0.0
13,University of Alcalá,0.0
14,University of La Laguna,0.0
