Rank,University,Points
1,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1007.85
2,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),524.7
3,University of the Basque Country,267.44
4,TECNUN - University of Navarra,134.18
5,University of Seville,125.96
6,Universidad Pontificia Comillas,38.0
7,Escola d'Enginyeria de Barcelona Est. EEBE,13.5
8,Universidad Politécnica de Madrid (UPM),4.5
9,Universidad de Castilla-La Mancha,0.0
10,Universidad de Oviedo,0.0
11,Universidad Politécnica de Cartagena,0.0
12,University of Alcalá,0.0
13,University of La Laguna,0.0
14,Vitoria-University of the Basque Country,0.0
