Rank,University,Points
1,University of the Basque Country,66.5
2,University of Seville,66.13
3,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,63.54
4,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),62.18
5,Universidad Pontificia Comillas,61.03
6,Universidad Politécnica de Madrid (UPM),52.42
7,TECNUN - University of Navarra,50.18
8,Vitoria-University of the Basque Country,45.89
9,Escola d'Enginyeria de Barcelona Est. EEBE,45.67
10,Universidad Politécnica de Cartagena,43.07
11,Universidad de Oviedo,38.3
12,Universidad de Castilla-La Mancha,36.0
13,University of La Laguna,31.2
14,University of Alcalá,1.92
