Rank,University,Points
1,University of Bath,718.73
2,University of Nottingham,472.5
3,Oxford Brookes University,471.9
4,University Of Hertfordshire,389.05
5,University of Warwick,367.0
6,Loughborough University,299.6
7,University of Strathclyde,279.95
8,Queen's University Belfast,245.6
9,University of Surrey,238.2
10,University of Birmingham,227.8
11,Imperial College London,219.4
12,University of Southampton,207.3
13,University of Sussex,199.1
14,University of Oxford,192.1
15,Brunel University London,192.05
16,Heriot-Watt University,183.1
17,University of Glasgow,178.6
18,Kingston University,162.2
19,Liverpool John Moores University,110.3
20,Lancaster  University,107.3
21,University of Liverpool,104.4
22,University of Bristol,87.7
23,Coventry University,82.7
24,University of Leicester,65.1
25,Newcastle University,56.3
26,Manchester Metropolitan University,22.2
