Rank,University,Points
1,Carnegie Mellon University,400.3
2,Massachusetts Institute of Technology,230.4
3,Georgia Institute of Technology,197.5
4,University of Michigan - Ann Arbor,195.1
5,University of Wisconsin-Madison,102.8
6,University of Pennsylvania,100.0
7,Purdue University - West Lafayette,93.1
8,Missouri University of Science and Technology,91.4
9,University of Washington,67.9
10,University of California Davis,62.0
11,Cornell University,48.3
12,Virginia Polytechnic Institute and State University,41.4
13,The University of Akron,35.4
14,University of Minnesota Twin Cities,21.6
15,University of Illinois at Urbana-Champaign,4.5
16,University of Texas at Austin,4.5
17,California Baptist University,0.0
18,California Institute of Technology,0.0
19,California State Polytechnic University - San Luis Obispo,0.0
20,Drexel University,0.0
21,Kennesaw State University,0.0
22,North Carolina State University,0.0
23,Olin College of Engineering,0.0
24,Portland State University,0.0
25,Rutgers The State University of New Jersey,0.0
26,San Diego State University,0.0
27,San José State University,0.0
28,Texas A&M University,0.0
29,The University of Michigan-Dearborn,0.0
30,University of California - Santa Cruz,0.0
31,University of California Berkeley,0.0
32,University of California Irvine,0.0
33,University of California Riverside,0.0
34,University of Cincinnati,0.0
35,University of Colorado - Colorado Springs,0.0
36,University of Iowa,0.0
37,University of Kansas,0.0
38,University of Maryland,0.0
39,University of New Mexico,0.0
40,University of North Carolina at Asheville,0.0
41,University of Southern California,0.0
42,University of Texas at San Antonio,0.0
43,University of Utah,0.0
44,Western Washington University,0.0
