Rank,University,Points
1,Carnegie Mellon University,75.0
2,University of Michigan - Ann Arbor,70.38
3,Georgia Institute of Technology,63.3
4,University of Washington,56.46
5,University of Minnesota Twin Cities,46.65
6,Cornell University,45.05
7,Massachusetts Institute of Technology,43.95
8,University of Texas at Austin,38.66
9,University of California Davis,37.74
10,University of Wisconsin-Madison,37.46
11,University of Pennsylvania,36.36
12,University of Illinois at Urbana-Champaign,34.38
13,Missouri University of Science and Technology,33.33
14,The University of Akron,33.17
15,Kennesaw State University,29.67
16,Virginia Polytechnic Institute and State University,29.63
17,Purdue University - West Lafayette,20.0
18,San José State University,19.72
19,California Baptist University,0.0
20,California Institute of Technology,0.0
21,California State Polytechnic University - San Luis Obispo,0.0
22,Drexel University,0.0
23,North Carolina State University,0.0
24,Olin College of Engineering,0.0
25,Portland State University,0.0
26,Rutgers The State University of New Jersey,0.0
27,San Diego State University,0.0
28,Texas A&M University,0.0
29,The University of Michigan-Dearborn,0.0
30,University of California - Santa Cruz,0.0
31,University of California Berkeley,0.0
32,University of California Irvine,0.0
33,University of California Riverside,0.0
34,University of Cincinnati,0.0
35,University of Colorado - Colorado Springs,0.0
36,University of Iowa,0.0
37,University of Kansas,0.0
38,University of Maryland,0.0
39,University of New Mexico,0.0
40,University of North Carolina at Asheville,0.0
41,University of Southern California,0.0
42,University of Texas at San Antonio,0.0
43,University of Utah,0.0
44,Western Washington University,0.0
