Rank,University,Points
1,Carnegie Mellon University,409.3
2,University of Michigan - Ann Arbor,333.1
3,University of Washington,311.7
4,University of Wisconsin-Madison,238.8
5,Georgia Institute of Technology,224.6
6,University of Illinois at Urbana-Champaign,217.8
7,University of Texas at Austin,193.3
8,Cornell University,190.1
9,University of California Davis,188.7
10,The University of Akron,186.6
11,University of Pennsylvania,181.8
12,Massachusetts Institute of Technology,175.8
13,Kennesaw State University,145.3
14,Virginia Polytechnic Institute and State University,133.2
15,Rochester Institute of Technology,124.4
16,Missouri University of Science and Technology,100.0
17,Purdue University - West Lafayette,100.0
18,University of Texas at Arlington,100.0
19,San José State University,98.6
20,University of Minnesota Twin Cities,93.3
21,California State Polytechnic University - San Luis Obispo,73.3
22,Columbia University,33.0
23,Pennsylvania State University,28.7
24,Auburn University,0.0
25,California Baptist University,0.0
26,California Institute of Technology,0.0
27,Cooper Union,0.0
28,Drexel University,0.0
29,Louisiana State University,0.0
30,North Carolina State University,0.0
31,Northwestern University,0.0
32,Olin College of Engineering,0.0
33,Portland State University,0.0
34,Rensselaer Polytechnic Institute,0.0
35,Rutgers The State University of New Jersey,0.0
36,San Diego State University,0.0
37,Texas A&M University,0.0
38,The University of Michigan-Dearborn,0.0
39,University of California - Santa Cruz,0.0
40,University of California Berkeley,0.0
41,University of California Irvine,0.0
42,University of California Riverside,0.0
43,University of California Santa Barbara,0.0
44,University of Cincinnati,0.0
45,University of Colorado - Colorado Springs,0.0
46,University of Florida,0.0
47,University of Iowa,0.0
48,University of Kansas,0.0
49,University of Maryland,0.0
50,University of Missouri,0.0
51,University of Nevada - Reno,0.0
52,University of New Mexico,0.0
53,University of North Carolina at Asheville,0.0
54,University of North Carolina at Charlotte,0.0
55,University of Southern California,0.0
56,University of Texas at San Antonio,0.0
57,University of Utah,0.0
58,Western Washington University,0.0
