Rank,University,Lowest Place,#
1,Technische Universität Graz,1st,10
2,Hochschule Darmstadt UAS,1st,5
3,Hochschule Karlsruhe,1st,5
4,GFR DHBW Ravensburg & Oregon State University,1st,4
5,École de Technologie Superieure,1st,4
6,Indian Institute of Technology Madras,1st,3
7,Kettering University,1st,3
8,Széchenyi István University,1st,3
9,Technische Universität Berlin,1st,3
10,TU Delft,1st,3
11,Ulm University of Applied Sciences,1st,3
12,Universität Stuttgart,1st,3
13,Centro Universitário da FEI,1st,2
14,Gujarat Technological University,1st,2
15,Hochschule Heilbronn,1st,2
16,RMIT University,1st,2
17,Swansea University,1st,2
18,Technical University of Munich,1st,2
19,The University of Akron,1st,2
20,Universidade Estadual de Campinas,1st,2
21,Universitatea Transilvania din Braşov,1st,2
22,University of California Irvine,1st,2
23,University Of Hertfordshire,1st,2
24,University of Modena and Reggio Emilia,1st,2
25,University of Wisconsin-Madison,1st,2
26,Università degli Studi di Parma,1st,2
27,Villanova University,1st,2
28,École Polytechnique de Montréal,1st,2
29,Alma Mater Studiorum - Università di Bologna,1st,1
30,Białystok University of Technology,1st,1
31,Brno University of Technology,1st,1
32,Budapest University of Technology and Economics,1st,1
33,California Baptist University,1st,1
34,California State Polytechnic University - San Luis Obispo,1st,1
35,California State University Chico,1st,1
36,Carleton University,1st,1
37,Centro Universitário Facens,1st,1
38,Coventry University,1st,1
39,Czech Technical University in Prague,1st,1
40,Escola de Engenharia de São Carlos da Universidade de São Paulo,1st,1
41,Escola Politècnica Superior d'Enginyeria de Manresa,1st,1
42,Escola Politécnica da Universidade de São Paulo,1st,1
43,Fachhochschule Joanneum Graz,1st,1
44,Fachhochschule München,1st,1
45,Friedrich-Alexander-Universität Erlangen-Nürnberg,1st,1
46,Harbin Institute of Technology at Weihai,1st,1
47,Hochschule Esslingen,1st,1
48,Hochschule Mannheim,1st,1
49,Hochschule Niederrhein,1st,1
50,Hokkaido Automotive Engineering College,1st,1
51,Kyoto Institute of Technology,1st,1
52,Kyoto University,1st,1
53,Lafayette College,1st,1
54,Loughborough University,1st,1
55,Mississippi State University,1st,1
56,Monash University,1st,1
57,Nagoya Institute of Technology,1st,1
58,Nippon Institute of Technology,1st,1
59,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),1st,1
60,Ostfalia University of Applied Sciences,1st,1
61,Rutgers The State University of New Jersey,1st,1
62,South Dakota State University,1st,1
63,São Paulo State University - UNESP - Bauru,1st,1
64,Texas A&M University,1st,1
65,Togliatti State University,1st,1
66,Tokyo City University,1st,1
67,Universidade Federal de Santa Maria,1st,1
68,Universidade Federal do Rio Grande do Sul,1st,1
69,Universidade Paulista,1st,1
70,University College Dublin,1st,1
71,University of Aberdeen,1st,1
72,University of Applied Sciences Ravensburg-Weingarten,1st,1
73,University of Bath,1st,1
74,University of Burgundy - ISAT,1st,1
75,University of California Berkeley,1st,1
76,University of Huddersfield,1st,1
77,University of Queensland,1st,1
78,University of Ulster,1st,1
79,University of Waterloo,1st,1
80,University of Wollongong,1st,1
81,Università degli Studi di Napoli Federico II,1st,1
82,Università degli Studi di Roma Tor Vergata,1st,1
83,Université du Québec à Trois-Rivières,1st,1
84,Vishwakarma Institute of Technology,1st,1
85,Xiamen University of Technology,1st,1
86,Dwarkadas. J. Sanghvi College of Engineering,2nd,2
87,Fachhochschule Stralsund,2nd,2
88,Hochschule Pforzheim,2nd,2
89,Karlsruhe Institute of Technology,2nd,2
90,Rochester Institute of Technology,2nd,2
91,TAMK University of Applied Sciences,2nd,2
92,University of Auckland,2nd,2
93,University of New South Wales,2nd,2
94,Università degli studi di Padova,2nd,2
95,Virginia Polytechnic Institute and State University,2nd,2
96,Brown University,2nd,1
97,California State University Los Angeles,2nd,1
98,Centro Federal de Educação Tecnológica de Minas Gerais,2nd,1
99,Curtin University,2nd,1
100,Democritus University of Thrace,2nd,1
101,Edith Cowan University,2nd,1
102,Fachhochschule Aachen,2nd,1
103,Hochschule Hannover,2nd,1
104,Instituto Mauá de Tecnologia,2nd,1
105,Instituto Tecnológico de Buenos Aires,2nd,1
106,Massachusetts Institute of Technology,2nd,1
107,Meijo University,2nd,1
108,Oklahoma State University - Stillwater,2nd,1
109,Oregon State University,2nd,1
110,Queen's University Belfast,2nd,1
111,Rensselaer Polytechnic Institute,2nd,1
112,Tokai University,2nd,1
113,UAS Kempten,2nd,1
114,United States Air Force Academy,2nd,1
115,Universidad de Vigo,2nd,1
116,Universidade Federal do Rio de Janeiro,2nd,1
117,Universidade Independente,2nd,1
118,Universitat Politécnica de Valéncia,2nd,1
119,University of California Los Angeles,2nd,1
120,University of California San Diego,2nd,1
121,University of Central Lancashire,2nd,1
122,University of Cincinnati,2nd,1
123,University of Hawaii at Manoa,2nd,1
124,University of Maribor,2nd,1
125,University of Melbourne,2nd,1
126,University of New South Wales - Australian Defence Force Academy,2nd,1
127,University of North Carolina at Charlotte,2nd,1
128,University of Sunderland,2nd,1
129,University of Texas at Arlington,2nd,1
130,University of Thessaly,2nd,1
131,University of Washington,2nd,1
132,Università della Calabria,2nd,1
133,Universität Paderborn,2nd,1
134,Fachhochschule Coburg,3rd,4
135,California State University Northridge,3rd,2
136,Helsinki Metropolia University of Applied Sciences,3rd,2
137,Politecnico di Milano,3rd,2
138,University of Oklahoma,3rd,2
139,Aalborg University,3rd,1
140,Aston University,3rd,1
141,College of Science and Technology Nihon University,3rd,1
142,Cornell University,3rd,1
143,Delhi Technological University,3rd,1
144,ETH Zürich,3rd,1
145,Fachhochschule Dortmund,3rd,1
146,Georgia Southern University,3rd,1
147,Hiroshima Institute of Technology,3rd,1
148,Hochschule für Angewandte Wissenschaften Hamburg,3rd,1
149,Hochschule RheinMain,3rd,1
150,Honda Technical College Kanto,3rd,1
151,Ibaraki University,3rd,1
152,Iowa State University,3rd,1
153,Kanazawa University,3rd,1
154,Liverpool John Moores University,3rd,1
155,Minnesota State University Mankato,3rd,1
156,Osaka University,3rd,1
157,Oxford Brookes University,3rd,1
158,San José State University,3rd,1
159,Sepuluh Nopember Institute of Technology,3rd,1
160,Shibaura Institute of Technology,3rd,1
161,Staffordshire University,3rd,1
162,Technische Hochschule Ostwestfalen-Lippe,3rd,1
163,Tennessee Technological University,3rd,1
164,UAS Würzburg-Schweinfurt,3rd,1
165,United States Naval Academy,3rd,1
166,Universidad Europea de Madrid,3rd,1
167,Universidade Federal de Itajubá - Itajubá,3rd,1
168,University of Malaga,3rd,1
169,University of Sheffield,3rd,1
170,University of Tasmania,3rd,1
171,University of Western Australia,3rd,1
172,University of Wisconsin-Platteville,3rd,1
173,University of Zagreb,3rd,1
174,Université Laval,3rd,1
175,Vanderbilt University,3rd,1
176,VIT University - Chennai,3rd,1
177,VŠB - Technical University of Ostrava,3rd,1
178,Wichita State University,3rd,1
179,Worcester Polytechnic Institute,3rd,1
180,Universidade Federal de Minas Gerais,4th,2
181,University of New Hampshire,4th,2
182,University of Yamanashi,4th,2
183,Czech University of Life Sciences Prague,4th,1
184,Drexel University,4th,1
185,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,4th,1
186,Fachhochschule Kiel,4th,1
187,Jilin University,4th,1
188,K. J. Somaiya College of Engineering,4th,1
189,Karlstad University,4th,1
190,Lancaster  University,4th,1
191,Lund University,4th,1
192,McGill University,4th,1
193,Michigan Technological University,4th,1
194,National Technical University of Athens,4th,1
195,Politecnico di Torino,4th,1
196,Siam University,4th,1
197,Smt. Kashibai Navale College of Engineering,4th,1
198,South Dakota School of Mines and Technology,4th,1
199,Technische Universität Darmstadt,4th,1
200,Technische Universität Wien,4th,1
201,The University of Michigan-Dearborn,4th,1
202,Tongji University,4th,1
203,University of Hartford,4th,1
204,University of Leeds,4th,1
205,University of Michigan - Ann Arbor,4th,1
206,University of Oulu,4th,1
207,University of Rijeka,4th,1
208,University of Salford,4th,1
209,University of South Florida,4th,1
210,University of Strathclyde,4th,1
211,University of the West of England,4th,1
212,University of Toledo,4th,1
213,Wroclaw University of Technology,4th,1
214,Cardiff University Wales,5th,3
215,Aristotle University of Thessaloniki,5th,2
216,Aso College of Automotive Engineering and Technology,5th,1
217,Daido Institute of Technology,5th,1
218,De Montfort University,5th,1
219,FAMU-FSU College of Engineering,5th,1
220,FH Campus Wien,5th,1
221,Gadjah Mada University,5th,1
222,Griffith University,5th,1
223,Honda Technical College Kansai,5th,1
224,Kogakuin University,5th,1
225,Nagoya University,5th,1
226,Okayama University,5th,1
227,Ostbayerische Technische Hochschule Regensburg,5th,1
228,PSG College of Technology,5th,1
229,Rose-Hulman Institute of Technology,5th,1
230,Rzeszów University of Technology,5th,1
231,Saginaw Valley State University,5th,1
232,Slovak University of Technology in Bratislava,5th,1
233,Sophia University,5th,1
234,Technion - Israel Institute of Technology,5th,1
235,Technische Hochschule Mittelhessen,5th,1
236,The Ohio State University,5th,1
237,The University of Newcastle,5th,1
238,Tokyo Denki University,5th,1
239,UNESP - Campus de Ilha Solteira,5th,1
240,Universidad Nacional Autónoma de México,5th,1
241,Universitas Negeri Yogyakarta,5th,1
242,University of Connecticut,5th,1
243,University of Delaware,5th,1
244,University of Missouri,5th,1
245,University of Seville,5th,1
246,University of Sydney,5th,1
247,University of Texas at Austin,5th,1
248,Doshisha University,6th,2
249,University of Birmingham,6th,2
250,University of Toronto,6th,2
251,Ain Shams University,6th,1
252,Ben-Gurion University of the Negev,6th,1
253,Brunel University London,6th,1
254,California State Polytechnic University Pomona,6th,1
255,California State University Sacramento,6th,1
256,Ecole Nationale d'Ingénieurs de Metz,6th,1
257,Lehigh University,6th,1
258,Missouri University of Science and Technology,6th,1
259,Otto-von-Guericke-Universität Magdeburg,6th,1
260,Technical University of Liberec,6th,1
261,University of Alberta,6th,1
262,University of Brescia,6th,1
263,University of Colorado at Boulder,6th,1
264,University of Maryland,6th,1
265,University of Waikato,6th,1
266,Università degli Studi di Roma La Sapienza,6th,1
267,Utsunomiya University,6th,1
268,Yıldız Technical University,6th,1
269,California State University Fullerton,7th,2
270,Universität Kassel,7th,2
271,Arizona State University,7th,1
272,Australian National University,7th,1
273,Chalmers University of Technology,7th,1
274,Gdańsk University of Technology,7th,1
275,Indiana University – Purdue University Indianapolis,7th,1
276,Kanagawa Institute of Technology,7th,1
277,King Mongkut's University of Technology Thonburi,7th,1
278,Kingston University,7th,1
279,Kobe University,7th,1
280,Luleå University of Technology,7th,1
281,Manchester Metropolitan University,7th,1
282,Marche Polytechnic University,7th,1
283,Northwestern University,7th,1
284,Purdue University - West Lafayette,7th,1
285,Rheinisch-Westfälische Technische Hochschule Aachen,7th,1
286,Tottori University,7th,1
287,University of Belgrade (Универзитет у Београду),7th,1
288,University of Canterbury,7th,1
289,University of Glasgow,7th,1
290,University of Kansas,7th,1
291,University of Nebraska–Lincoln,7th,1
292,University of New Mexico,7th,1
293,University of Nottingham,7th,1
294,University of Sussex,7th,1
295,University of Texas at San Antonio,7th,1
296,University of Wolverhampton,7th,1
297,Università di Pisa,7th,1
298,West Virginia University,7th,1
299,Yokohama National University,7th,1
300,Fachhochschule Konstanz,8th,3
301,Auburn University,8th,2
302,Okayama University of Science,8th,2
303,University of Liverpool,8th,2
304,Aichi Institute of Technology,8th,1
305,College of Industrial Technology Nihon University,8th,1
306,Hochschule für Technik und Wirtschaft Mittweida,8th,1
307,Kinki University,8th,1
308,Kurume Institute of Technology,8th,1
309,Lawrence Technological University,8th,1
310,Linköping University,8th,1
311,Meisei University,8th,1
312,National University of Singapore,8th,1
313,Poznan University of Technology,8th,1
314,Shanghai Jiao Tong University,8th,1
315,Tallinn TU UAS,8th,1
316,Technische Universität Dresden,8th,1
317,TECNUN - University of Navarra,8th,1
318,Texas Tech University,8th,1
319,Universidad Simón Bolívar,8th,1
320,Georgia Institute of Technology,9th,2
321,AGH University of Science and Technology,9th,1
322,Colorado Mesa University,9th,1
323,Cégep du Vieux Montréal,9th,1
324,Ferdowsi University of Mashad,9th,1
325,Kokushikan University,9th,1
326,KTH Royal Institute of Technology,9th,1
327,Liaoning University of Technology,9th,1
328,Oakland University,9th,1
329,Osaka Institute of Technology,9th,1
330,Prince of Songkla University,9th,1
331,Silesian University of Technology,9th,1
332,Universidade de Lisboa - Instituto Superior Técnico,9th,1
333,University of Leicester,9th,1
334,University of Malta,9th,1
335,University of Pittsburgh,9th,1
336,University of Warwick,9th,1
337,University of West Bohemia,9th,1
338,University of Illinois at Urbana-Champaign,10th,2
339,Università degli Studi di Firenze,10th,2
340,Western University,10th,2
341,Bauman Moscow State Technical University,10th,1
342,California State University Fresno,10th,1
343,Guangxi University of Science and Technology,10th,1
344,Hope College,10th,1
345,Institute of Technologists,10th,1
346,MIT World Peace University,10th,1
347,North Carolina State University,10th,1
348,Queensland University of Technology,10th,1
349,Shizuoka Institute of Science and Technology,10th,1
350,Technische Universität Braunschweig,10th,1
351,University of North Texas,10th,1
352,University of Technology Sydney,10th,1
353,Universität Bayreuth,10th,1
354,Université de Sherbrooke,10th,1
355,Western Michigan University,10th,1
356,University of Florida,11th,2
357,Beijing Institute of Technology,11th,1
358,Dartmouth College,11th,1
359,Dr. D. Y. Patil Institute Of Engineering and Technology,11th,1
360,Keio University,11th,1
361,Nihon Automobile College,11th,1
