Rank,University,Points
1,Universität Stuttgart,792.22
2,GFR DHBW Ravensburg & Oregon State University,737.08
3,Universidad LaSalle,726.0
4,Monash University,704.62
5,Hochschule Esslingen,700.76
6,Technische Universität Graz,697.26
7,University of Wollongong,694.27
8,Yokohama National University,687.4
9,Cornell University,669.59
10,University of Western Australia,652.76
11,University of Texas at Arlington,647.41
12,Texas A&M University,646.55
13,Instituto Tecnológico de Buenos Aires,646.0
14,Tallinn TU UAS,631.8
15,Centro Universitário da FEI,631.05
16,Griffith University,629.8
17,Osaka University,624.29
18,Rochester Institute of Technology,621.04
19,Fachhochschule Joanneum Graz,620.85
20,École de Technologie Superieure,618.6
21,University of Michigan - Ann Arbor,612.88
22,Czech Technical University in Prague,611.39
23,ETH Zürich,610.88
24,Kyoto Institute of Technology,610.31
25,Technical University of Munich,608.22
26,Nagoya University,607.0
27,Helsinki Metropolia University of Applied Sciences,600.92
28,University of Canterbury,599.0
29,Universitat Politécnica de Valéncia,598.82
30,Brno University of Technology,597.79
31,TU Delft,597.62
32,Edith Cowan University,593.75
33,Nihon Automobile College,593.7
34,Fachhochschule Coburg,593.46
35,RMIT University,590.65
36,Missouri University of Science and Technology,585.95
37,University of Wisconsin-Madison,584.33
38,Karlsruhe Institute of Technology,583.15
39,University of Washington,579.48
40,The University of Akron,578.98
41,Gujarat Technological University,576.6
42,Westsächsische Hochschule Zwickau,575.45
43,San José State University,569.33
44,University Of Hertfordshire,561.71
45,Kyoto University,554.31
46,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),551.29
47,Alma Mater Studiorum - Università di Bologna,547.8
48,Dartmouth College,546.71
49,Sophia University,545.5
50,University of Queensland,544.33
51,University of Florida,542.44
52,Auburn University,541.61
53,Hochschule für Angewandte Wissenschaften Hamburg,540.81
54,Széchenyi István University,540.7
55,University of Auckland,540.31
56,Chalmers University of Technology,536.64
57,University of Illinois at Urbana-Champaign,535.12
58,Friedrich-Alexander-Universität Erlangen-Nürnberg,534.72
59,Centro Universitário Facens,534.26
60,Technische Universität Braunschweig,533.31
61,Nagoya Institute of Technology,532.0
62,Michigan State University,530.71
63,Technische Universität Bergakademie Freiberg,530.3
64,Wroclaw University of Technology,530.13
65,Shibaura Institute of Technology,528.75
66,Ibaraki University,528.43
67,University of Bath,525.59
68,Kookmin University,524.69
69,Universität Kassel,523.1
70,Università degli studi di Padova,522.86
71,California State Polytechnic University Pomona,522.77
72,Hochschule Karlsruhe - Technik und Wirtschaft,522.34
73,Swinburne University of Technology,522.09
74,Technische Universität Berlin,520.67
75,University of Melbourne,520.0
76,Fachhochschule Kiel,519.67
77,Chiba University,519.07
78,Technische Hochschule Mittelhessen,517.81
79,University of Tasmania,517.4
80,Georgia Institute of Technology,514.31
81,Clemson University,512.96
82,Utsunomiya University,512.18
83,Oregon State University,510.86
84,The Ohio State University,510.18
85,University of West Bohemia,509.2
86,Tokyo City University,505.82
87,University of Toronto,505.06
88,Oxford Brookes University,504.8
89,University of Kansas,503.83
90,National University of Singapore,503.38
91,University of Sydney,497.67
92,Western Washington University,496.61
93,University of Missouri,496.32
94,Ostbayerische Technische Hochschule Regensburg,495.72
95,Virginia Polytechnic Institute and State University,493.74
96,Tongji University,490.75
97,California State University Northridge,490.09
98,Curtin University,490.07
99,University of Applied Sciences Ravensburg-Weingarten,490.0
100,University of Oklahoma,489.52
101,Nippon Institute of Technology,488.27
102,Politecnico di Torino,487.42
103,University of New South Wales,486.05
104,Fachhochschule München,484.5
105,École Polytechnique de Montréal,484.13
106,University of Cincinnati,483.78
107,Universität Siegen,482.33
108,Fachhochschule Stralsund,481.29
109,Aristotle University of Thessaloniki,479.41
110,Escola de Engenharia de São Carlos da Universidade de São Paulo,476.2
111,Technische Universität Darmstadt,476.0
112,Vishwakarma Institute of Technology,474.5
113,The University of Tokyo,474.29
114,Technische Universität Wien,473.87
115,University of Waterloo,472.76
116,Kanazawa University,472.22
117,Budapest University of Technology and Economics,471.29
118,Beijing Institute of Technology,471.0
119,Politecnico di Milano,470.62
120,Université Laval,469.05
121,North Carolina State University,464.52
122,University of Toledo,464.26
123,Villanova University,462.42
124,Australian National University,457.83
125,Poznan University of Technology,457.36
126,University of Modena and Reggio Emilia,455.66
127,University of Maryland,454.43
128,Ben-Gurion University of the Negev,453.29
129,Kanagawa Institute of Technology,452.87
130,Universidade Estadual de Campinas,450.14
131,University of Minnesota Twin Cities,449.91
132,Tokai University,449.7
133,Toyohashi University of Technology,447.83
134,Doshisha University,447.38
135,Pennsylvania State University,447.26
136,Western University,447.15
137,University of Wales Trinity Saint David,444.3
138,Pimpri Chinchwad College Of Engineering,444.0
139,Cardiff University Wales,443.0
140,Białystok University of Technology,442.32
141,Purdue University - West Lafayette,442.31
142,Rose-Hulman Institute of Technology,442.08
143,Saginaw Valley State University,440.71
144,University of California Berkeley,440.67
145,Hope College,440.2
146,University of Adelaide,438.94
147,Universität Paderborn,438.43
148,Rensselaer Polytechnic Institute,437.62
149,King Mongkut's University of Technology Thonburi,436.0
150,Norwegian University of Science and Technology,435.75
151,Università degli Studi di Firenze,435.46
152,McGill University,434.54
153,Università della Calabria,432.64
154,Ostfalia University of Applied Sciences,432.62
155,University of Virginia,432.0
156,University of Waikato,430.8
157,Shizuoka University,429.75
158,Kobe University,429.33
159,Kokushikan University,428.3
160,University of New Mexico,427.84
161,VŠB - Technical University of Ostrava,425.64
162,Hochschule Darmstadt UAS,425.39
163,Tokyo University of Science,422.53
164,KTH Royal Institute of Technology,421.7
165,University of South Florida,421.38
166,Universidade Federal de Minas Gerais,419.43
167,Technische Hochschule Köln,418.4
168,Carleton University,418.0
169,Lund University,415.06
170,Loughborough University,413.69
171,California State Polytechnic University - San Luis Obispo,413.1
172,Kasetsart University,412.0
173,Rutgers The State University of New Jersey,411.66
174,Technische Universiteit Eindhoven,410.67
175,Universitas Negeri Yogyakarta,410.2
176,UAS Würzburg-Schweinfurt,409.7
177,University of Nebraska–Lincoln,408.67
178,Shizuoka Institute of Science and Technology,407.21
179,Queen's University Belfast,406.13
180,Università di Pisa,402.96
181,Liverpool John Moores University,401.64
182,Democritus University of Thrace,400.5
183,Kettering University,400.06
184,Fachhochschule Konstanz,399.88
185,Duale Hochschule Baden-Württemberg Ravensburg,398.38
186,Meijo University,398.06
187,University of New South Wales - Australian Defence Force Academy,397.64
188,Massachusetts Institute of Technology,397.11
189,Brown University,396.44
190,Universidad Simón Bolívar,396.0
191,Czech University of Life Sciences Prague,395.8
192,Kennesaw State University,395.67
193,Iowa State University,394.72
194,National Technical University of Athens,394.22
195,Queensland University of Technology,393.8
196,University of Pittsburgh,393.44
197,Kanazawa Institute of Technology,392.5
198,Yıldız Technical University,392.47
199,Chungbuk National University,390.5
200,The University of Michigan-Dearborn,389.56
201,University of Connecticut,388.9
202,University of Yamanashi,386.23
203,Georgia Southern University,386.0
204,College of Science and Technology Nihon University,385.71
205,Smt. Kashibai Navale College of Engineering,385.67
206,University of Alabama,385.53
207,Oakland University,384.39
208,Technische Hochschule Ostwestfalen-Lippe,383.4
209,Kyushu Institute of Technology,382.53
210,Ferdowsi University of Mashad,382.0
211,University of Birmingham,380.82
212,Prince of Songkla University,380.0
213,Drexel University,379.7
214,Tokyo Denki University,379.64
215,Duale Hochschule Baden-Württemberg Stuttgart,379.0
216,Hubei University of Automotive Technology,378.4
217,UAS Kempten,378.21
218,University of Idaho,376.43
219,Osaka City University,376.4
220,Luleå University of Technology,376.2
221,Ritsumeikan University,376.07
222,Hochschule für Technik und Wirtschaft Mittweida,375.3
223,University of the Pacific,375.0
224,Karlstad University,372.5
225,Centro Federal de Educação Tecnológica de Minas Gerais,372.08
226,University of Strathclyde,371.86
227,Florida Atlantic University,371.08
228,California Baptist University,371.0
229,Minnesota State University Mankato,370.59
230,Technion - Israel Institute of Technology,369.33
231,Indiana University – Purdue University Indianapolis,368.75
232,University of Pennsylvania,367.0
233,California State University Sacramento,366.88
234,University of California San Diego,366.57
