Rank,University,Lowest Place,#
1,RMIT University,1st,2
2,Monash University,1st,1
3,University of Queensland,1st,1
4,University of Wollongong,1st,1
5,University of New South Wales,2nd,2
6,Curtin University,2nd,1
7,Edith Cowan University,2nd,1
8,University of Melbourne,2nd,1
9,University of New South Wales - Australian Defence Force Academy,2nd,1
10,University of Tasmania,3rd,1
11,University of Western Australia,3rd,1
12,Griffith University,5th,1
13,The University of Newcastle,5th,1
14,University of Sydney,5th,1
15,Australian National University,7th,1
16,Queensland University of Technology,10th,1
17,University of Technology Sydney,10th,1
18,University of Adelaide,15th,1
19,Swinburne University of Technology,22nd,1
20,Deakin University,N/A,0
21,Federation University Australia,N/A,0
22,Flinders University,N/A,0
23,James Cook University,N/A,0
24,University of South Australia,N/A,0
25,University of Southern Queensland,N/A,0
26,Victoria University Australia,N/A,0
27,Western Sydney University,N/A,0
