Rank,University,Points
1,Centro Universitário da FEI,994.36
2,Centro Universitário Facens,932.32
3,Escola de Engenharia de São Carlos da Universidade de São Paulo,620.88
4,Universidade Estadual de Campinas,590.42
5,Centro Federal de Educação Tecnológica de Minas Gerais,511.14
6,Instituto Mauá de Tecnologia,407.62
7,Universidade Paulista,349.09
8,Universidade Federal de Minas Gerais,331.71
9,Universidade Federal do Rio de Janeiro,262.21
10,Universidade Federal de Santa Maria,247.21
11,Escola Politécnica da Universidade de São Paulo,154.81
12,Universidade Federal de São João del Rei,112.75
13,Universidade de Brasília,67.89
14,Universidade Federal da Bahia,57.07
15,Universidade Federal de Itajubá - Itabira,51.0
16,UNESP - Campus de Ilha Solteira,41.9
17,Universidade Federal de Santa Catarina,33.06
18,Universidade Federal de Itajubá - Itajubá,27.36
19,Universidade Federal Fluminense - Niterói,16.1
20,Universidade Federal do Rio Grande do Sul,12.4
21,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,8.0
22,Federal University of Paraíba,5.29
23,São Paulo State University - UNESP - Bauru,4.5
24,UniSALESIANO Araçatuba,4.5
25,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,0.0
26,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,0.0
27,Escola de Engenharia de Lorena da Universidade de São Paulo,0.0
28,Universidade Comunitária Regional de Chapecó,0.0
29,Universidade Estadual do Oeste do Paraná,0.0
30,Universidade Estadual Paulista - Guaratinguetá,0.0
31,Universidade Federal de Campina Grande,0.0
32,Universidade Federal De Lavras,0.0
33,Universidade Federal de Mato Grosso,0.0
34,Universidade Federal de Santa Catarina - Joinville,0.0
35,Universidade Federal de Sergipe,0.0
36,Universidade Federal de São Carlos,0.0
37,Universidade Federal de Uberlândia - UFU,0.0
38,Universidade Federal de Viçosa,0.0
39,Universidade Federal do Ceará,0.0
40,Universidade Federal do Paraná,0.0
41,Universidade Federal do Pará - Campus Tucuruí - UFPA,0.0
42,Universidade Paulista - Campinas - Campus II,0.0
43,Universidade Paulista - Sorocaba,0.0
44,Universidade Tecnológica Federal do Paraná,0.0
