Rank,University,Points
1,Centro Universitário da FEI,749.31
2,Centro Universitário Facens,498.0
3,Escola de Engenharia de São Carlos da Universidade de São Paulo,490.85
4,Universidade Estadual de Campinas,311.81
5,Centro Federal de Educação Tecnológica de Minas Gerais,302.24
6,Instituto Mauá de Tecnologia,221.37
7,Universidade Federal de Minas Gerais,171.92
8,Universidade Federal do Rio de Janeiro,155.85
9,Universidade Paulista,149.2
10,Universidade Federal de Santa Maria,106.54
11,Universidade Federal de São João del Rei,61.49
12,Universidade Federal do Rio Grande do Sul,56.86
13,Escola Politécnica da Universidade de São Paulo,55.73
14,Universidade Federal de Itajubá - Itabira,42.1
15,UNESP - Campus de Ilha Solteira,20.2
16,Universidade Federal Fluminense - Niterói,11.3
17,UniSALESIANO Araçatuba,6.8
18,Universidade de Brasília,6.59
19,Universidade Federal de Santa Catarina,6.05
20,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,3.5
21,São Paulo State University - UNESP - Bauru,3.5
22,Universidade Federal da Bahia,2.5
23,Universidade Federal de Itajubá - Itajubá,2.5
24,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,0.0
25,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,0.0
26,Escola de Engenharia de Lorena da Universidade de São Paulo,0.0
27,Federal University of Paraíba,0.0
28,Universidade Comunitária Regional de Chapecó,0.0
29,Universidade Estadual do Oeste do Paraná,0.0
30,Universidade Estadual Paulista - Guaratinguetá,0.0
31,Universidade Federal de Campina Grande,0.0
32,Universidade Federal De Lavras,0.0
33,Universidade Federal de Mato Grosso,0.0
34,Universidade Federal de Santa Catarina - Joinville,0.0
35,Universidade Federal de Sergipe,0.0
36,Universidade Federal de São Carlos,0.0
37,Universidade Federal de Uberlândia - UFU,0.0
38,Universidade Federal de Viçosa,0.0
39,Universidade Federal do Ceará,0.0
40,Universidade Federal do Paraná,0.0
41,Universidade Federal do Pará - Campus Tucuruí - UFPA,0.0
42,Universidade Paulista - Campinas - Campus II,0.0
43,Universidade Paulista - Sorocaba,0.0
44,Universidade Tecnológica Federal do Paraná,0.0
