Rank,University,Points
1,Universität Stuttgart,66.96
2,Karlsruhe Institute of Technology,66.38
3,Koblenz University of Applied Science,64.0
4,Duale Hochschule Baden-Württemberg Stuttgart,61.68
5,Technische Universität Bergakademie Freiberg,61.13
6,Technische Universität Braunschweig,60.34
7,Technical University of Munich,60.06
8,Westsächsische Hochschule Zwickau,59.43
9,Fachhochschule München,59.19
10,Fachhochschule für Wirtschaft und Technik,58.2
11,Hochschule Esslingen,58.18
12,Ostbayerische Technische Hochschule Regensburg,57.53
13,Universität Kassel,57.22
14,Universität Bayreuth,57.19
15,Fachhochschule Stralsund,57.17
16,Ostbayerische Technische Hochschule Amberg-Weiden (OTH),57.12
17,Technische Universität Ilmenau,56.95
18,Hochschule für Technik und Wirtschaft Berlin,56.3
19,Duale Hochschule Baden-Württemberg Ravensburg,55.88
20,Fachhochschule Konstanz,55.77
21,UAS Kempten,55.68
22,Technische Universität Berlin,55.65
23,Universität Paderborn,54.96
24,Hochschule für Angewandte Wissenschaften Hamburg,54.63
25,Universität Siegen,54.43
26,Hochschule Karlsruhe - Technik und Wirtschaft,54.33
27,University of Applied Sciences Ravensburg-Weingarten,53.35
28,Friedrich-Alexander-Universität Erlangen-Nürnberg,52.89
29,Fachhochschule Kiel,52.74
30,Rheinisch-Westfälische Technische Hochschule Aachen,52.66
31,Fachhochschule Osnabrück,52.42
32,Deggendorf Institute of Technology,51.38
33,Ostfalia University of Applied Sciences,51.33
34,Technische Universität Darmstadt,50.92
35,Technische Hochschule Köln,50.34
36,Fachhochschule Coburg,50.27
37,Ulm University of Applied Sciences,50.25
38,Hochschule Darmstadt UAS,49.56
39,Technische Hochschule Mittelhessen,49.44
40,UAS Würzburg-Schweinfurt,49.18
41,Technische Hochschule Lübeck,49.1
42,Berlin School of Economics,48.54
43,Hochschule Pforzheim,48.47
44,Hochschule für Technik und Wirtschaft Mittweida,47.87
45,Technische Universität Dresden,45.34
46,Hochschule Niederrhein,45.26
47,Saarland University,44.36
48,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,44.14
49,Universität der Bundeswehr München,43.86
50,Otto-von-Guericke-Universität Magdeburg,43.07
51,Hochschule RheinMain,42.87
52,Hochschule Mannheim,41.92
53,Ruhr-Universität Bochum,41.15
54,Hochschule Heilbronn,40.22
55,Fachhochschule Hannover,40.03
56,Technische Hochschule Ostwestfalen-Lippe,38.99
57,Technische Universität Kaiserslautern,37.99
58,Fachhochschule Aachen,36.67
59,Hochschule Offenburg,36.6
60,Brandenburgische Technische Universität Cottbus,34.53
61,Technische Universität Dortmund,32.39
62,Leibniz Universität Hannover,29.57
63,Bergische Universität Wuppertal,27.91
64,Fachhochschule Dortmund,23.81
65,Fachhochschule Frankfurt am Main,20.92
66,Hochschule Bonn-Rhein-Sieg,14.08
