Rank,University,Points
1,Gujarat Technological University,975.0
2,Indian Institute of Technology Madras,691.74
3,K. J. Somaiya College of Engineering,387.22
4,Dwarkadas. J. Sanghvi College of Engineering,355.78
5,Delhi Technological University,315.44
6,Vishwakarma Institute of Technology,286.37
7,Smt. Kashibai Navale College of Engineering,227.92
8,Dr. D. Y. Patil Institute Of Engineering and Technology,220.8
9,Manipal Academy of Higher Education,188.98
10,PES University,185.2
11,PSG College of Technology,89.48
12,VIT University - Chennai,78.39
13,MIT World Peace University,77.8
14,VIT University - Vellore,54.0
15,R.V.College of Engineering,50.0
16,Indian Institute of Technology Roorkee,32.0
17,Aligarh Muslim University,25.0
18,National Institute of Technology - Kurukshetra,25.0
19,Rajarambapu Institute of Technology,25.0
20,SRM Institute of Science and Technology - Kattankulathur,25.0
21,Sinhgad College of Engineering Vadgaon,5.0
22,Thapar Institute of Engineering and Technology,5.0
23,Indian Institute of Technology Kharagpur,1.0
24,Acharya Institute of Technology,0.0
25,AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,0.0
26,Amity School of Engineering and Technology,0.0
27,Amrita School of Engineering Coimbatore,0.0
28,Amrutvahini College Of Engineering Sangamner,0.0
29,Bangalore Institute of Technology,0.0
30,Bharati Vidyapeeth College of Engineering,0.0
31,Bhartiya Institute of Engineering and Technology,0.0
32,Birla Institute of Technology & Science  Pilani,0.0
33,Birla Institute of Technology Mesra,0.0
34,BITS Pilani KK Birla Goa Campus,0.0
35,Chaitanya Bharathi Institute of Technology,0.0
36,Chandigarh University,0.0
37,Charotar University of Science and Technology,0.0
38,Chitkara University Punjab,0.0
39,D.Y. Patil School of Engineering Academy Ambi,0.0
40,DIT University,0.0
41,Dr. Mahalingam College of Engineering and Technology,0.0
42,Fr Conceicao Rodrigues College of Engineering,0.0
43,G.V.Acharya Institute of Engineering & Technology,0.0
44,Galgotias University,0.0
45,Graphic Era University,0.0
46,Guru Gobind Singh Indraprastha University,0.0
47,Haldia Institute of Technology,0.0
48,Hindustan Institute of Technology and Science,0.0
49,HMR Institute of Technology & Management,0.0
50,Indian Institute of Technology Bombay,0.0
51,Indian Institute of Technology Delhi,0.0
52,Indian Institute of Technology Dhanbad,0.0
53,Indian Institute of Technology Kanpur,0.0
54,Indira Gandhi Delhi Technical University for Women,0.0
55,J.C. Bose University of Science and Technology YMCA,0.0
56,J.S.S. Academy of Technical Education Noida,0.0
57,K L University,0.0
58,Kakatiya Institute of Technology and Science Warangal,0.0
59,Kalinga Institute of Industrial Technology,0.0
60,KLE Technological University,0.0
61,Kumaraguru College of Technology,0.0
62,Laxmi Devi Institute of Engineering & Technology,0.0
63,Lokmanya Tilak College of Engineering,0.0
64,Lovely Professional University,0.0
65,M.H. Saboo Siddik College of Engineering,0.0
66,Madras Institute of Technology,0.0
67,Manav Rachna International University,0.0
68,Marathwada Mitra Mandal's College of Engineering,0.0
69,MCT's Rajiv Gandhi Institute of Technology,0.0
70,MGM's Jawaharlal Nehru Engineering College,0.0
71,Nagesh Karajagi Orchid College Of Engineering & Technology,0.0
72,National Institute of Technology - Calicut,0.0
73,National Institute of Technology - Jamshedpur,0.0
74,National Institute of Technology - Karnataka,0.0
75,National Institute of Technology - Rourkela,0.0
76,NBN Sinhgad School Of Engineering,0.0
77,Netaji Subhas Institute of Technology,0.0
78,Nirma University,0.0
79,Nitte Meenakshi Institute of Technology,0.0
80,P.E.S. Modern College of Engineering,0.0
81,PEC University of Technology,0.0
82,PES Institute of Technology,0.0
83,Pillai College Of Engineering,0.0
84,Pimpri Chinchwad College Of Engineering,0.0
85,Pune Vidyarti Griha's college of Engineering and Technology,0.0
86,Rajarshi Shahu College Of Engineering,0.0
87,Rajendra Mane College of Engineering and Technology,0.0
88,Ramaiah Institute of Technology,0.0
89,Rayat Institute of Engineering and Information Technology,0.0
90,RMD Sinhgad School of Engineering,0.0
91,Saraswati College of Engineering,0.0
92,Sardar Patel College of Engineering Mumbai,0.0
93,Sardar Vallabhbhai National Institute of Technology,0.0
94,Shri G.S. Institute of Technology and Science Indore,0.0
95,Sinhgad Academy Of Engineering,0.0
96,Sri Venkateswara College of Engineering,0.0
97,SRM Institute of Science and Technology - Ramapuram,0.0
98,SRM Institute of Science and Technology NCR Campus,0.0
99,St. Vincent Pallotti College of Engineering and Technology,0.0
100,Symbiosis Institute of Technology,0.0
101,Thakur College of Engineering and Technology,0.0
102,The National Institute of Engineering Mysore,0.0
103,TKM  College of Engineering,0.0
104,TSSM’s Bhivarabai Sawant College of Engineering & Research,0.0
105,University Institute of Technology RGPV Bhopal,0.0
106,University of Delhi,0.0
107,Vasavi College of Engineering,0.0
108,Veer Surendra Sai University of Technology,0.0
109,Vidyavardhini's College of Engineering and Technology,0.0
110,Vishwakarma Institute of Information Technology,0.0
