Rank,University,Points
1,Vishwakarma Institute of Technology,615.0
2,Gujarat Technological University,576.6
3,Pimpri Chinchwad College Of Engineering,444.0
4,Smt. Kashibai Navale College of Engineering,385.67
5,Indian Institute of Technology Madras,356.89
6,Dwarkadas. J. Sanghvi College of Engineering,348.57
7,Nirma University,333.0
8,Pune Vidyarti Griha's college of Engineering and Technology,331.33
9,MIT World Peace University,330.33
10,Dr. D. Y. Patil Institute Of Engineering and Technology,327.5
11,PES University,303.0
12,SRM Institute of Science and Technology - Kattankulathur,282.8
13,K. J. Somaiya College of Engineering,278.08
14,Sardar Patel College of Engineering Mumbai,272.33
15,Delhi Technological University,243.9
16,Manipal Academy of Higher Education,241.38
17,VIT University - Chennai,228.0
18,KLE Technological University,221.0
19,VIT University - Vellore,220.93
20,Indian Institute of Technology Roorkee,218.0
21,R.V.College of Engineering,217.72
22,Vishwakarma Institute of Information Technology,214.8
23,Shri G.S. Institute of Technology and Science Indore,190.5
24,PSG College of Technology,188.25
25,G.V.Acharya Institute of Engineering & Technology,188.0
26,SRM Institute of Science and Technology NCR Campus,183.5
27,Indian Institute of Technology Kharagpur,182.4
28,Symbiosis Institute of Technology,176.0
29,Indian Institute of Technology Kanpur,175.0
30,National Institute of Technology - Kurukshetra,175.0
31,Thapar Institute of Engineering and Technology,174.93
32,The National Institute of Engineering Mysore,168.6
33,Indian Institute of Technology Bombay,167.5
34,Aligarh Muslim University,158.8
35,Birla Institute of Technology Mesra,158.0
36,Lovely Professional University,156.0
37,Thakur College of Engineering and Technology,155.33
38,Graphic Era University,154.0
39,Marathwada Mitra Mandal's College of Engineering,154.0
40,National Institute of Technology - Karnataka,150.67
41,Rajarambapu Institute of Technology,150.0
42,Vidyavardhini's College of Engineering and Technology,149.0
43,Ramaiah Institute of Technology,146.29
44,Sinhgad College of Engineering Vadgaon,144.56
45,University of Delhi,142.0
46,Fr Conceicao Rodrigues College of Engineering,137.67
47,St. Vincent Pallotti College of Engineering and Technology,137.0
48,BITS Pilani KK Birla Goa Campus,136.0
49,Nagesh Karajagi Orchid College Of Engineering & Technology,136.0
50,RMD Sinhgad School of Engineering,136.0
51,Indian Institute of Technology Dhanbad,132.0
52,Birla Institute of Technology & Science  Pilani,130.0
53,Bhartiya Institute of Engineering and Technology,129.0
54,J.C. Bose University of Science and Technology YMCA,128.0
55,PES Institute of Technology,127.0
56,National Institute of Technology - Rourkela,125.5
57,Sri Venkateswara College of Engineering,125.25
58,Amrita School of Engineering Coimbatore,124.5
59,Kakatiya Institute of Technology and Science Warangal,124.0
60,MCT's Rajiv Gandhi Institute of Technology,124.0
61,Indian Institute of Technology Delhi,122.25
62,Veer Surendra Sai University of Technology,120.5
63,D.Y. Patil School of Engineering Academy Ambi,119.0
64,Hindustan Institute of Technology and Science,117.0
65,Amity School of Engineering and Technology,116.0
66,Rajarshi Shahu College Of Engineering,116.0
67,Amrutvahini College Of Engineering Sangamner,114.0
68,Chitkara University Punjab,113.25
69,Lokmanya Tilak College of Engineering,113.0
70,Netaji Subhas Institute of Technology,113.0
71,Sinhgad Academy Of Engineering,113.0
72,Kalinga Institute of Industrial Technology,108.0
73,NBN Sinhgad School Of Engineering,108.0
74,Indira Gandhi Delhi Technical University for Women,106.0
75,Kumaraguru College of Technology,104.4
76,K L University,102.67
77,Guru Gobind Singh Indraprastha University,102.5
78,MGM's Jawaharlal Nehru Engineering College,102.0
79,Rajendra Mane College of Engineering and Technology,101.67
80,HMR Institute of Technology & Management,100.0
81,DIT University,98.33
82,Saraswati College of Engineering,98.0
83,M.H. Saboo Siddik College of Engineering,97.5
84,Rayat Institute of Engineering and Information Technology,93.0
85,University Institute of Technology RGPV Bhopal,92.5
86,Madras Institute of Technology,91.0
87,Pillai College Of Engineering,83.0
88,SRM Institute of Science and Technology - Ramapuram,82.0
89,Galgotias University,80.67
90,AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,78.5
91,National Institute of Technology - Calicut,78.5
92,Dr. Mahalingam College of Engineering and Technology,78.0
93,Haldia Institute of Technology,75.0
94,Nitte Meenakshi Institute of Technology,73.0
95,PEC University of Technology,72.0
96,National Institute of Technology - Jamshedpur,66.67
97,Charotar University of Science and Technology,61.33
98,Vasavi College of Engineering,61.0
99,Chaitanya Bharathi Institute of Technology,58.0
100,Bharati Vidyapeeth College of Engineering,56.5
101,Chandigarh University,52.0
102,Acharya Institute of Technology,46.0
103,Manav Rachna International University,41.5
104,TSSM’s Bhivarabai Sawant College of Engineering & Research,39.0
105,Laxmi Devi Institute of Engineering & Technology,35.0
106,P.E.S. Modern College of Engineering,27.0
107,J.S.S. Academy of Technical Education Noida,25.0
108,Sardar Vallabhbhai National Institute of Technology,25.0
109,TKM  College of Engineering,17.0
110,Bangalore Institute of Technology,3.0
