Rank,University,Points
1,Pimpri Chinchwad College Of Engineering,61.05
2,Smt. Kashibai Navale College of Engineering,37.46
3,MIT World Peace University,26.19
4,Dwarkadas. J. Sanghvi College of Engineering,21.9
5,Vishwakarma Institute of Technology,20.48
6,Lovely Professional University,19.76
7,K. J. Somaiya College of Engineering,13.99
8,Kumaraguru College of Technology,11.45
9,Sardar Patel College of Engineering Mumbai,11.13
10,SRM Institute of Science and Technology - Kattankulathur,10.94
11,VIT University - Chennai,9.65
12,Indian Institute of Technology Madras,9.2
13,Manipal Academy of Higher Education,8.81
14,Gujarat Technological University,4.43
15,PSG College of Technology,3.86
16,R.V.College of Engineering,3.64
17,VIT University - Vellore,2.82
18,Indian Institute of Technology Kharagpur,2.63
19,Dr. D. Y. Patil Institute Of Engineering and Technology,1.75
20,Vishwakarma Institute of Information Technology,1.75
21,Delhi Technological University,0.65
22,Sinhgad College of Engineering Vadgaon,0.31
23,Acharya Institute of Technology,0.0
24,AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,0.0
25,Aligarh Muslim University,0.0
26,Amity School of Engineering and Technology,0.0
27,Amrita School of Engineering Coimbatore,0.0
28,Amrutvahini College Of Engineering Sangamner,0.0
29,Bangalore Institute of Technology,0.0
30,Bharati Vidyapeeth College of Engineering,0.0
31,Bhartiya Institute of Engineering and Technology,0.0
32,Birla Institute of Technology & Science  Pilani,0.0
33,Birla Institute of Technology Mesra,0.0
34,BITS Pilani KK Birla Goa Campus,0.0
35,Chaitanya Bharathi Institute of Technology,0.0
36,Chandigarh University,0.0
37,Charotar University of Science and Technology,0.0
38,Chitkara University Punjab,0.0
39,D.Y. Patil School of Engineering Academy Ambi,0.0
40,DIT University,0.0
41,Dr. Mahalingam College of Engineering and Technology,0.0
42,Fr Conceicao Rodrigues College of Engineering,0.0
43,G.V.Acharya Institute of Engineering & Technology,0.0
44,Galgotias University,0.0
45,Graphic Era University,0.0
46,Guru Gobind Singh Indraprastha University,0.0
47,Haldia Institute of Technology,0.0
48,Hindustan Institute of Technology and Science,0.0
49,HMR Institute of Technology & Management,0.0
50,Indian Institute of Technology Bombay,0.0
51,Indian Institute of Technology Delhi,0.0
52,Indian Institute of Technology Dhanbad,0.0
53,Indian Institute of Technology Kanpur,0.0
54,Indian Institute of Technology Roorkee,0.0
55,Indira Gandhi Delhi Technical University for Women,0.0
56,J.C. Bose University of Science and Technology YMCA,0.0
57,J.S.S. Academy of Technical Education Noida,0.0
58,K L University,0.0
59,Kakatiya Institute of Technology and Science Warangal,0.0
60,Kalinga Institute of Industrial Technology,0.0
61,KLE Technological University,0.0
62,Laxmi Devi Institute of Engineering & Technology,0.0
63,Lokmanya Tilak College of Engineering,0.0
64,M.H. Saboo Siddik College of Engineering,0.0
65,Madras Institute of Technology,0.0
66,Manav Rachna International University,0.0
67,Marathwada Mitra Mandal's College of Engineering,0.0
68,MCT's Rajiv Gandhi Institute of Technology,0.0
69,MGM's Jawaharlal Nehru Engineering College,0.0
70,Nagesh Karajagi Orchid College Of Engineering & Technology,0.0
71,National Institute of Technology - Calicut,0.0
72,National Institute of Technology - Jamshedpur,0.0
73,National Institute of Technology - Karnataka,0.0
74,National Institute of Technology - Kurukshetra,0.0
75,National Institute of Technology - Rourkela,0.0
76,NBN Sinhgad School Of Engineering,0.0
77,Netaji Subhas Institute of Technology,0.0
78,Nirma University,0.0
79,Nitte Meenakshi Institute of Technology,0.0
80,P.E.S. Modern College of Engineering,0.0
81,PEC University of Technology,0.0
82,PES Institute of Technology,0.0
83,PES University,0.0
84,Pillai College Of Engineering,0.0
85,Pune Vidyarti Griha's college of Engineering and Technology,0.0
86,Rajarambapu Institute of Technology,0.0
87,Rajarshi Shahu College Of Engineering,0.0
88,Rajendra Mane College of Engineering and Technology,0.0
89,Ramaiah Institute of Technology,0.0
90,Rayat Institute of Engineering and Information Technology,0.0
91,RMD Sinhgad School of Engineering,0.0
92,Saraswati College of Engineering,0.0
93,Sardar Vallabhbhai National Institute of Technology,0.0
94,Shri G.S. Institute of Technology and Science Indore,0.0
95,Sinhgad Academy Of Engineering,0.0
96,Sri Venkateswara College of Engineering,0.0
97,SRM Institute of Science and Technology - Ramapuram,0.0
98,SRM Institute of Science and Technology NCR Campus,0.0
99,St. Vincent Pallotti College of Engineering and Technology,0.0
100,Symbiosis Institute of Technology,0.0
101,Thakur College of Engineering and Technology,0.0
102,Thapar Institute of Engineering and Technology,0.0
103,The National Institute of Engineering Mysore,0.0
104,TKM  College of Engineering,0.0
105,TSSM’s Bhivarabai Sawant College of Engineering & Research,0.0
106,University Institute of Technology RGPV Bhopal,0.0
107,University of Delhi,0.0
108,Vasavi College of Engineering,0.0
109,Veer Surendra Sai University of Technology,0.0
110,Vidyavardhini's College of Engineering and Technology,0.0
