Rank,University,Lowest Place,#
1,University of Modena and Reggio Emilia,1st,3
2,Università degli studi di Padova,1st,3
3,Università degli Studi di Firenze,1st,1
4,Politecnico di Milano,2nd,2
5,Politecnico di Torino,2nd,2
6,Alma Mater Studiorum - Università di Bologna,2nd,1
7,Università degli Studi di Roma Tor Vergata,4th,1
8,Università di Pisa,5th,2
9,Università degli Studi della Tuscia,6th,1
10,Università degli Studi di Napoli Federico II,6th,1
11,Università della Calabria,7th,1
12,Marche Polytechnic University,9th,1
13,Università del Salento,10th,1
14,Università degli Studi di Roma La Sapienza,11th,1
15,University of Brescia,12th,1
16,Università degli Studi di Ferrara,13th,1
17,Università degli Studi di Parma,14th,1
18,Università degli Studi di Cagliari,19th,1
19,University of Perugia,27th,1
20,Politecnico di Bari,29th,1
21,Università degli Studi di Catania,33rd,1
22,University of Messina,35th,1
23,Università degli Studi di Salerno,N/A,0
