Rank,University,Lowest Place,#
1,Università degli Studi di Firenze,1st,5
2,Università degli studi di Padova,1st,3
3,Politecnico di Torino,1st,2
4,University of Modena and Reggio Emilia,1st,2
5,Università degli Studi di Roma La Sapienza,1st,2
6,Università di Pisa,1st,2
7,Alma Mater Studiorum - Università di Bologna,1st,1
8,Politecnico di Milano,1st,1
9,University of Brescia,1st,1
10,Università del Salento,1st,1
11,Università della Calabria,1st,1
12,Politecnico di Bari,2nd,1
13,Università degli Studi di Ferrara,2nd,1
14,Marche Polytechnic University,3rd,1
15,Università degli Studi di Napoli Federico II,3rd,1
16,Università degli Studi di Roma Tor Vergata,3rd,1
17,Università degli Studi della Tuscia,6th,2
18,University of Perugia,6th,1
19,Università degli Studi di Parma,6th,1
20,Università degli Studi di Catania,14th,1
21,Università degli Studi di Cagliari,15th,1
22,University of Messina,25th,1
23,Università degli Studi di Salerno,32nd,1
