Rank,University,Points
1,University of Modena and Reggio Emilia,3587.46
2,Università degli studi di Padova,3337.94
3,Alma Mater Studiorum - Università di Bologna,3026.8
4,Politecnico di Milano,2450.43
5,Università di Pisa,2150.73
6,Politecnico di Torino,1865.5
7,Università degli Studi di Roma La Sapienza,1864.12
8,Università degli Studi di Firenze,1443.18
9,Università degli Studi di Roma Tor Vergata,1382.28
10,Università della Calabria,1157.9
11,Marche Polytechnic University,1141.19
12,Università del Salento,967.31
13,Università degli Studi di Parma,844.64
14,Università degli Studi di Napoli Federico II,698.49
15,Politecnico di Bari,672.19
16,University of Brescia,627.69
17,Università degli Studi della Tuscia,558.0
18,University of Perugia,379.26
19,Università degli Studi di Cagliari,341.88
20,Università degli Studi di Ferrara,258.0
21,Università degli Studi di Catania,112.0
22,University of Messina,105.0
23,Università degli Studi di Salerno,21.9
