Rank,University,Points
1,Yokohama National University,58.36
2,Nihon Automobile College,57.95
3,Osaka University,55.16
4,Kanazawa Institute of Technology,54.18
5,Chiba University,52.96
6,Nagoya University,51.81
7,Utsunomiya University,49.74
8,Kyoto University,47.47
9,Tokyo Metropolitan College of Industrial Technology,47.14
10,Toyohashi University of Technology,47.13
11,Teikyo University,47.02
12,Sophia University,45.76
13,Shibaura Institute of Technology,45.36
14,Kanagawa Institute of Technology,41.72
15,Tokai University,41.61
16,Osaka Institute of Technology,41.55
17,Osaka City University,40.31
18,Kyoto Institute of Technology,40.05
19,Kokushikan University,38.97
20,Tokyo City University,38.88
21,Doshisha University,38.4
22,Osaka Sangyo University,38.03
23,Ibaraki University,37.92
24,Nippon Institute of Technology,37.66
25,Nagoya Institute of Technology,36.12
26,Sanyo-Onoda City University at Tokyo University of Science,35.9
27,University of Yamanashi,35.02
28,Institute of Technologists,34.74
29,Shizuoka University,33.92
30,Kobe University,33.52
31,Kanazawa University,32.69
32,Hiroshima University,32.59
33,Toyota Technical College Nagoya,32.51
34,Waseda University,31.44
35,Gifu University,30.28
36,Saitama University,29.98
37,Tokyo University of Science,29.94
38,Shizuoka Institute of Science and Technology,29.83
39,Hokkaido University,26.06
40,The University of Tokyo,25.48
41,Kyushu Institute of Technology,25.04
42,College of Science and Technology Nihon University,25.03
43,Ritsumeikan University,24.37
44,Seikei University,24.36
45,Tokyo University of Agriculture and Technology,23.47
46,Tokyo Institute of Technology,23.37
47,University of Fukui,22.81
48,Kurume Institute of Technology,22.57
49,Keio University,21.5
50,Meijo University,20.57
51,Tokyo Denki University,20.28
52,Kogakuin University,20.25
53,Honda Technical College Kansai,20.11
54,Okayama University,19.97
55,Niigata University,15.89
56,Kinki University,14.03
57,The University of Kitakyushu,12.82
58,Hiroshima Institute of Technology,9.85
59,Aichi Institute of Technology,9.41
60,Osaka Prefecture University,7.54
61,University of Toyama,6.81
62,Daido Institute of Technology,6.54
63,Shizuoka Professional College of Automobile Technology,6.22
64,Honda Technical College Kanto,6.18
65,Setsunan University,6.06
66,Faculty of Textile Science & Technology. Shinshu University,6.0
67,Sojo University,5.71
68,Okayama University of Science,5.22
69,Fukui University of Technology,5.01
70,Tottori University,4.55
71,College of Industrial Technology Nihon University,4.02
72,Chiba Institute of Technology,3.63
73,Hokkaido Automotive Engineering College,3.5
74,Aso College of Automotive Engineering and Technology,3.28
75,Meisei University,2.35
76,Tokyo Metropolitan University,1.75
77,Saitama Institute of Technology,1.74
78,Akita Prefectural University,0.0
79,Aoyama Gakuin University,0.0
80,Gunma University,0.0
81,Kochi University of Technology,0.0
82,Kyushu Sangyo University,0.0
83,Kyushu University,0.0
84,Shonan Institute of Technology,0.0
85,Tokyo Tech Car College Setagaya,0.0
86,WIZ International College of Information and Technology,0.0
87,Yamagata University,0.0
