Rank,University,Points
1,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,75.9
2,Universidad Panamericana Sede México,68.76
3,Universidad Autónoma del Estado de México,67.19
4,Universidad Nacional Autónoma de México,63.41
5,Instituto Tecnológico de Chihuahua,62.54
6,Universidad Iberoamericana,61.84
7,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,40.9
8,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,36.33
9,Universidad LaSalle,29.33
10,Instituto Politécnico Nacional,5.15
11,ESIA San Luis Potosi,0.0
