Rank,University,Lowest Place,#
1,Universidad Autónoma del Estado de México,1st,2
2,Instituto Tecnológico de Chihuahua,1st,1
3,Universidad Nacional Autónoma de México,3rd,1
4,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,4th,1
5,Universidad Panamericana Sede México,9th,1
6,Universidad LaSalle,20th,1
7,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,27th,1
8,Universidad Iberoamericana,37th,1
9,Instituto Politécnico Nacional,59th,1
10,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,61st,2
11,ESIA San Luis Potosi,N/A,0
