Rank,University,Lowest Place,#
1,Universitat Politécnica de Valéncia,1st,3
2,University of Seville,3rd,1
3,Escola Politècnica Superior d'Enginyeria de Manresa,7th,1
4,University of Malaga,8th,1
5,University of the Basque Country,8th,1
6,University Carlos III of Madrid,9th,2
7,TECNUN - University of Navarra,9th,1
8,Universidad de Vigo,9th,1
9,Universidad Rey Juan Carlos,9th,1
10,Universitat Jaume I,9th,1
11,University of Cadiz,9th,1
12,Universidad Europea de Madrid,11th,1
13,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,13th,1
14,Universidad de Castilla-La Mancha,13th,1
15,Universidad Politécnica de Madrid (UPM),15th,1
16,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,18th,1
17,Escola Universitària Salesiana de Sarrià (UAB),18th,1
18,Universidad Francisco de Vitoria,N/A,0
19,Universidad Politécnica de Cartagena,N/A,0
20,Universitat de Girona,N/A,0
21,University of Valladolid,N/A,0
