Rank,University,Points
1,Universitat Politécnica de Valéncia,136.7
2,University of Malaga,70.81
3,Escola Politècnica Superior d'Enginyeria de Manresa,47.11
4,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,43.03
5,University of Seville,37.42
6,Universidad de Vigo,20.69
7,TECNUN - University of Navarra,20.21
8,University of the Basque Country,18.6
9,Universidad Politécnica de Madrid (UPM),10.2
10,Universidad Europea de Madrid,5.08
11,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,5.0
12,Escola Universitària Salesiana de Sarrià (UAB),5.0
13,Universidad Francisco de Vitoria,5.0
14,Universitat Jaume I,2.78
15,University of Cadiz,2.61
16,Universidad Rey Juan Carlos,2.5
17,Universidad de Castilla-La Mancha,1.33
18,Universidad Politécnica de Cartagena,0.0
19,Universitat de Girona,0.0
20,University Carlos III of Madrid,0.0
21,University of Valladolid,0.0
