Rank,University,Points
1,Universitat Politécnica de Valéncia,111.13
2,University of Seville,79.81
3,University Carlos III of Madrid,76.04
4,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,73.22
5,Universidad de Vigo,73.16
6,Escola Politècnica Superior d'Enginyeria de Manresa,71.13
7,TECNUN - University of Navarra,68.47
8,Universidad Europea de Madrid,64.58
9,Universidad Politécnica de Madrid (UPM),64.35
10,Escola Universitària Salesiana de Sarrià (UAB),62.07
11,University of Malaga,57.91
12,Universidad de Castilla-La Mancha,55.67
13,Universidad Francisco de Vitoria,53.35
14,University of the Basque Country,53.25
15,Universidad Rey Juan Carlos,50.08
16,University of Cadiz,49.34
17,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,41.28
18,Universitat Jaume I,40.25
19,Universitat de Girona,37.5
20,University of Valladolid,24.0
21,Universidad Politécnica de Cartagena,23.25
