Rank,University,Lowest Place,#
1,Universitat Politécnica de Valéncia,1st,3
2,University Carlos III of Madrid,3rd,1
3,Escola Politècnica Superior d'Enginyeria de Manresa,4th,1
4,University of Seville,5th,1
5,University of Cadiz,6th,1
6,Escola Universitària Salesiana de Sarrià (UAB),7th,1
7,TECNUN - University of Navarra,7th,1
8,Universidad Europea de Madrid,8th,1
9,University of Malaga,8th,1
10,Universidad Rey Juan Carlos,9th,1
11,Universitat Jaume I,11th,1
12,Universidad de Vigo,12th,1
13,Universidad Politécnica de Madrid (UPM),12th,1
14,University of the Basque Country,12th,1
15,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,13th,1
16,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,14th,1
17,Universidad Politécnica de Cartagena,14th,1
18,Universidad de Castilla-La Mancha,21st,1
19,Universidad Francisco de Vitoria,21st,1
20,University of Valladolid,25th,1
21,Universitat de Girona,27th,1
