Rank,University,Points
1,Universitat Politécnica de Valéncia,598.82
2,University of Seville,321.95
3,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,303.0
4,TECNUN - University of Navarra,242.4
5,Escola Politècnica Superior d'Enginyeria de Manresa,235.2
6,Universidad Politécnica de Madrid (UPM),228.0
7,University Carlos III of Madrid,199.36
8,University of Malaga,199.0
9,Escola Universitària Salesiana de Sarrià (UAB),195.0
10,Universidad Europea de Madrid,193.32
11,University of the Basque Country,184.0
12,Universidad de Vigo,154.54
13,Universidad Rey Juan Carlos,148.71
14,University of Cadiz,134.67
15,Universidad Politécnica de Cartagena,126.25
16,Universidad de Castilla-La Mancha,120.33
17,Universitat Jaume I,119.29
18,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,105.0
19,Universidad Francisco de Vitoria,71.33
20,Universitat de Girona,55.33
21,University of Valladolid,25.0
