Rank,University,Points
1,Oxford Brookes University,1739.03
2,University Of Hertfordshire,1624.4
3,University of Bath,1554.71
4,Loughborough University,1397.01
5,University of Birmingham,1078.37
6,Cardiff University Wales,927.14
7,Brunel University London,779.82
8,University of Strathclyde,706.6
9,University of Leeds,597.27
10,University of Wales Trinity Saint David,549.55
11,Coventry University,529.71
12,Queen's University Belfast,523.79
13,University of Huddersfield,505.09
14,Liverpool John Moores University,459.27
15,Swansea University,396.58
16,Lancaster  University,369.14
17,University of Liverpool,279.58
18,Manchester Metropolitan University,275.73
19,University of Central Lancashire,246.35
20,University of Glasgow,242.4
21,University of Aberdeen,235.9
22,De Montfort University,232.6
23,University of Surrey,228.4
24,University of Ulster,219.93
25,University of the West of England,219.05
26,University of Southampton,218.26
27,University of Warwick,185.16
28,Aston University,174.75
29,University of Manchester,131.39
30,Imperial College London,128.19
31,University of Wolverhampton,121.2
32,University of Portsmouth,119.89
33,University of Sheffield,105.3
34,Staffordshire University,99.8
35,Heriot-Watt University,94.9
36,University of Sussex,69.7
37,University of Sunderland,64.2
38,University of Cambridge,62.59
39,City University London,44.53
40,University of Nottingham,43.04
41,University of Dundee,39.4
42,Kingston University,39.0
43,Sheffield Hallam University,36.4
44,University College London,35.43
45,Newcastle University,27.33
46,Birmingham City University,14.7
47,University of Hull,7.6
48,University of Edinburgh,7.0
49,University of Exeter,7.0
50,University of the West of Scotland,3.5
51,London South Bank University,0.0
52,North East Wales Institute of Higher Education,0.0
53,Queen Mary University of London,0.0
54,University of Brighton,0.0
55,University of Derby,0.0
56,University of Leicester,0.0
57,University of Northampton,0.0
58,University of Salford,0.0
