Rank,University,Lowest Place,#
1,University of Bath,1st,5
2,University of Strathclyde,1st,4
3,Oxford Brookes University,1st,3
4,University of Birmingham,1st,2
5,University of Leeds,1st,2
6,Coventry University,1st,1
7,Loughborough University,1st,1
8,University of Aberdeen,1st,1
9,University Of Hertfordshire,1st,1
10,University of Liverpool,1st,1
11,University of Sheffield,1st,1
12,Birmingham City University,2nd,1
13,Cardiff University Wales,2nd,1
14,Queen Mary University of London,2nd,1
15,Sheffield Hallam University,2nd,1
16,Swansea University,2nd,1
17,University of Cambridge,2nd,1
18,University of Huddersfield,2nd,1
19,University of Surrey,2nd,1
20,University of the West of England,2nd,1
21,Brunel University London,3rd,2
22,Liverpool John Moores University,3rd,1
23,University of Dundee,3rd,1
24,University of Central Lancashire,4th,1
25,University of Southampton,4th,1
26,Aston University,5th,2
27,University of Portsmouth,5th,1
28,University of Warwick,5th,1
29,Lancaster  University,6th,2
30,Heriot-Watt University,6th,1
31,University of Manchester,6th,1
32,University of Wales Trinity Saint David,6th,1
33,University of Glasgow,8th,1
34,University of Ulster,8th,1
35,University of Exeter,9th,1
36,Staffordshire University,10th,1
37,Manchester Metropolitan University,11th,1
38,Queen's University Belfast,11th,1
39,University of Edinburgh,12th,1
40,De Montfort University,17th,1
41,London South Bank University,18th,1
42,University of Sunderland,21st,1
43,University of Sussex,21st,1
44,University of Salford,22nd,1
45,Imperial College London,23rd,1
46,University of Wolverhampton,23rd,1
47,University of Leicester,25th,1
48,Newcastle University,28th,1
49,University of the West of Scotland,28th,1
50,Kingston University,29th,1
51,University of Hull,30th,1
52,City University London,31st,1
53,University College London,36th,1
54,University of Nottingham,46th,1
55,University of Brighton,53rd,1
56,North East Wales Institute of Higher Education,62nd,1
57,University of Derby,76th,1
58,University of Northampton,80th,1
