Rank,University,Points
1,University Of Hertfordshire,145.32
2,Staffordshire University,137.0
3,University of Bath,109.81
4,University of Wales Trinity Saint David,103.74
5,University of Leicester,94.55
6,Queen's University Belfast,86.66
7,Oxford Brookes University,82.64
8,Liverpool John Moores University,82.24
9,Cardiff University Wales,82.11
10,Loughborough University,78.1
11,University of Leeds,76.59
12,University of Aberdeen,74.02
13,Brunel University London,73.24
14,Kingston University,72.97
15,University of Surrey,64.94
16,University of Strathclyde,63.77
17,Swansea University,49.96
18,University of Birmingham,49.02
19,Heriot-Watt University,45.76
20,University of the West of England,45.46
21,University of Dundee,44.87
22,De Montfort University,40.71
23,University of Sheffield,40.2
24,University of Glasgow,39.82
25,Manchester Metropolitan University,39.44
26,Coventry University,38.32
27,University of Huddersfield,37.63
28,University of Nottingham,36.9
29,University of Sussex,34.92
30,University of Wolverhampton,33.57
31,University of Southampton,32.74
32,University of Central Lancashire,32.0
33,University of Liverpool,29.54
34,University of Manchester,28.9
35,Imperial College London,21.69
36,Aston University,20.84
37,University of Brighton,20.0
38,University of Warwick,18.6
39,Lancaster  University,15.98
40,University of Hull,7.5
41,Sheffield Hallam University,6.96
42,Birmingham City University,5.22
43,University of Portsmouth,5.13
44,University College London,3.86
45,University of Sunderland,2.86
46,University of Edinburgh,2.83
47,University of Exeter,2.62
48,University of Ulster,2.13
49,University of Derby,2.0
50,City University London,1.86
51,University of Cambridge,1.0
52,London South Bank University,0.0
53,Newcastle University,0.0
54,North East Wales Institute of Higher Education,0.0
55,Queen Mary University of London,0.0
56,University of Northampton,0.0
57,University of Salford,0.0
58,University of the West of Scotland,0.0
