Rank,University,Points
1,Oxford Brookes University,4678.1
2,University of Bath,4644.7
3,University Of Hertfordshire,3863.03
4,University of Birmingham,3256.0
5,Loughborough University,2925.59
6,Brunel University London,2528.94
7,University of Strathclyde,2442.0
8,University of Leeds,2421.55
9,Cardiff University Wales,2416.67
10,University of Huddersfield,2205.56
11,University of Liverpool,1688.5
12,Lancaster  University,1493.0
13,Coventry University,1446.5
14,Queen's University Belfast,1344.0
15,Swansea University,1326.0
16,University of Warwick,1255.5
17,University of Southampton,1128.5
18,University of Sheffield,1102.0
19,University of Cambridge,995.0
20,Liverpool John Moores University,975.0
21,University of Aberdeen,939.0
22,Aston University,879.5
23,University of Central Lancashire,867.0
24,University of Wales Trinity Saint David,854.0
25,University of Portsmouth,807.0
26,University of Sussex,782.5
27,University of Glasgow,764.0
28,University of the West of England,745.62
29,University of Ulster,728.0
30,University of Manchester,654.0
31,City University London,624.0
32,Sheffield Hallam University,593.0
33,University of Surrey,591.0
34,Manchester Metropolitan University,581.0
35,Heriot-Watt University,550.0
36,Birmingham City University,490.0
37,De Montfort University,472.0
38,University of Edinburgh,414.0
39,University of Sunderland,373.5
40,University of Hull,338.0
41,University of Exeter,317.0
42,University of Wolverhampton,315.0
43,University of Dundee,276.0
44,Staffordshire University,247.0
45,Newcastle University,208.0
46,University College London,197.0
47,University of Nottingham,193.5
48,Imperial College London,139.0
49,University of the West of Scotland,131.0
50,University of Salford,106.0
51,Kingston University,84.0
52,University of Derby,75.0
53,University of Leicester,67.0
54,University of Brighton,65.0
55,Queen Mary University of London,47.0
56,London South Bank University,42.0
57,University of Northampton,20.0
58,North East Wales Institute of Higher Education,0.0
