Rank,University,Points
1,University Of Hertfordshire,561.71
2,University of Bath,525.59
3,Oxford Brookes University,504.8
4,Staffordshire University,474.17
5,Cardiff University Wales,459.33
6,University of Wales Trinity Saint David,444.3
7,Loughborough University,413.69
8,Queen's University Belfast,406.13
9,Liverpool John Moores University,401.64
10,University of Birmingham,380.82
11,University of Strathclyde,370.73
12,Brunel University London,360.71
13,University of Leeds,357.38
14,University of Aberdeen,356.93
15,University of the West of England,345.29
16,University of Sheffield,326.36
17,University of Glasgow,316.5
18,Coventry University,313.75
19,University of Surrey,311.88
20,University of Leicester,311.5
21,University of Huddersfield,292.58
22,Swansea University,286.68
23,University of Southampton,284.36
24,Heriot-Watt University,284.25
25,University of Liverpool,283.43
26,Lancaster  University,269.41
27,De Montfort University,269.29
28,University of Warwick,235.56
29,Kingston University,231.0
30,University of Sussex,230.62
31,University of Wolverhampton,229.57
32,University of Central Lancashire,209.81
33,University of Manchester,209.0
34,Manchester Metropolitan University,208.29
35,University of Salford,191.0
36,University of Dundee,187.67
37,Aston University,184.33
38,Newcastle University,179.33
39,Imperial College London,177.5
40,University of Ulster,169.8
41,Birmingham City University,168.56
42,University of Edinburgh,168.33
43,University of the West of Scotland,167.0
44,Sheffield Hallam University,166.71
45,Queen Mary University of London,161.75
46,University of Cambridge,157.85
47,University of Portsmouth,154.47
48,London South Bank University,149.5
49,University of Nottingham,149.0
50,University College London,139.5
51,University of Exeter,136.11
52,City University London,125.0
53,University of Derby,124.0
54,University of Brighton,122.0
55,University of Hull,108.88
56,University of Sunderland,103.79
57,University of Northampton,45.0
58,North East Wales Institute of Higher Education,34.0
