Rank,University,Points
1,Rochester Institute of Technology,3114.97
2,The University of Akron,2863.94
3,Missouri University of Science and Technology,2711.44
4,University of Michigan - Ann Arbor,2434.77
5,University of Illinois at Urbana-Champaign,2400.6
6,University of Kansas,2372.05
7,University of Missouri,2229.88
8,University of Wisconsin-Madison,2175.2
9,Michigan State University,2174.76
10,Auburn University,2099.39
11,The Ohio State University,2037.31
12,University of Washington,1949.52
13,University of Toledo,1923.2
14,Rensselaer Polytechnic Institute,1862.6
15,University of Cincinnati,1841.62
16,University of Oklahoma,1786.93
17,Virginia Polytechnic Institute and State University,1777.53
18,University of Texas at Arlington,1740.45
19,Kettering University,1730.97
20,Georgia Institute of Technology,1706.74
21,University of Pittsburgh,1702.19
22,Cornell University,1693.98
23,California State Polytechnic University Pomona,1649.77
24,Rutgers The State University of New Jersey,1633.82
25,Purdue University - West Lafayette,1605.07
26,Lawrence Technological University,1559.73
27,University of Florida,1558.21
28,Clemson University,1433.41
29,Iowa State University,1407.78
30,Oakland University,1379.36
31,Pennsylvania State University,1371.47
32,Texas A&M University,1305.88
33,South Dakota School of Mines and Technology,1276.34
34,Duke University,1243.0
35,Saginaw Valley State University,1225.05
36,California State University Northridge,1222.92
37,Michigan Technological University,1211.6
38,North Carolina State University,1206.84
39,The University of Michigan-Dearborn,1190.77
40,University of Maryland,1188.36
41,University of Minnesota Twin Cities,1173.71
42,Brown University,1145.69
43,California State Polytechnic University - San Luis Obispo,1113.97
44,University of South Florida,1111.67
45,Kansas State University,1108.18
46,San José State University,1077.1
47,United States Naval Academy,1074.27
48,University of New Mexico,1051.61
49,Dartmouth College,1034.04
50,University of Texas at Austin,1033.25
51,Wayne State University,1022.16
52,University of Connecticut,1003.22
53,Lehigh University,978.33
54,University of California Berkeley,976.91
55,Western Washington University,967.39
56,Louisiana State University,959.8
57,Bradley University,944.65
58,University of Central Florida,924.23
59,University of Southern California,903.93
60,Oregon State University,880.6
61,Clarkson University,876.06
62,University of Colorado at Boulder,855.69
63,Minnesota State University Mankato,848.44
64,United States Air Force Academy,826.88
65,Kennesaw State University,814.2
66,Oklahoma State University - Stillwater,811.19
67,University of Alabama,804.71
68,University of Arizona,802.9
69,California State University Sacramento,795.95
70,Colorado School of Mines,794.23
71,University of Nebraska–Lincoln,788.8
72,Worcester Polytechnic Institute,772.86
73,Drexel University,762.09
74,Northern Illinois University,761.13
75,Colorado State University,761.07
76,San Diego State University,748.02
77,West Virginia University,742.98
78,University of Illinois at Chicago,739.82
79,University of North Carolina at Charlotte,708.76
80,South Dakota State University,704.42
81,University of New Hampshire,699.95
82,Mississippi State University,698.48
83,Northwestern University,689.4
84,Rose-Hulman Institute of Technology,674.1
85,Western Michigan University,673.62
86,Temple University,670.28
87,University of California San Diego,661.92
88,University of Hartford,657.94
89,Columbia University,656.86
90,Cooper Union,655.88
91,Tennessee Technological University,651.47
92,Villanova University,650.6
93,University of California Irvine,640.61
94,Washington University in St. Louis,618.61
95,University of Delaware,612.07
96,Florida Atlantic University,586.91
97,University of North Dakota,583.03
98,University of Louisville,559.6
99,State University of New York at Buffalo,548.96
100,University of Wisconsin-Platteville,546.33
101,York College of Pennsylvania,537.8
102,Wichita State University,529.82
103,University of Texas at San Antonio,527.52
104,Arizona State University,498.8
105,Old Dominion University,489.87
106,Vanderbilt University,482.76
107,Texas Tech University,468.73
108,Georgia Southern University,466.96
109,Carnegie Mellon University,460.23
110,University of Evansville,455.04
111,California State University Fullerton,450.8
112,University of Utah,450.78
113,University of North Florida,431.0
114,Florida Institute of Technology,418.01
115,University of Pennsylvania,405.62
116,Massachusetts Institute of Technology,400.32
117,California State University Chico,392.1
118,University of California Los Angeles,379.2
119,Oregon Institute of Technology,377.7
120,Portland State University,371.86
121,University of North Texas,368.1
122,University of Idaho,360.82
123,Southern Illinois University Carbondale,357.45
124,Ferris State University,342.5
125,California State University Los Angeles,336.3
126,University of Kentucky,326.2
127,Washington State University,324.65
128,Stevens Institute of Technology,324.3
129,Milwaukee School of Engineering,322.26
