Rank,University,Points
1,Cornell University,669.59
2,University of Texas at Arlington,651.2
3,Texas A&M University,639.95
4,Rochester Institute of Technology,621.04
5,University of Michigan - Ann Arbor,612.88
6,Missouri University of Science and Technology,587.02
7,University of Washington,579.48
8,University of Wisconsin-Madison,578.24
9,The University of Akron,570.28
10,San José State University,569.33
11,Dartmouth College,546.71
12,University of Illinois at Urbana-Champaign,543.12
13,University of Florida,542.44
14,Auburn University,541.61
15,Michigan State University,532.81
16,Georgia Institute of Technology,521.9
17,California State Polytechnic University Pomona,519.81
18,The Ohio State University,518.06
19,Oregon State University,510.86
20,Clemson University,510.56
21,University of Kansas,501.84
22,University of Missouri,499.58
23,California State University Northridge,498.52
24,Western Washington University,496.61
25,Virginia Polytechnic Institute and State University,493.74
26,University of Cincinnati,490.12
27,University of Oklahoma,482.84
28,North Carolina State University,465.81
29,Villanova University,458.62
30,University of Toledo,455.4
31,Purdue University - West Lafayette,452.23
32,University of Minnesota Twin Cities,450.13
33,University of Maryland,447.95
34,University of California Berkeley,447.69
35,Pennsylvania State University,447.26
36,Saginaw Valley State University,441.82
37,Hope College,440.2
38,Rensselaer Polytechnic Institute,437.62
39,California State Polytechnic University - San Luis Obispo,428.32
40,University of Virginia,428.0
41,University of New Mexico,427.84
42,Rose-Hulman Institute of Technology,427.08
43,University of South Florida,425.73
44,Rutgers The State University of New Jersey,411.66
45,University of Connecticut,404.52
46,Kennesaw State University,400.16
47,University of Nebraska–Lincoln,398.19
48,Massachusetts Institute of Technology,397.11
49,California Baptist University,395.2
50,Iowa State University,394.33
51,University of California San Diego,393.53
52,Kettering University,392.97
53,University of Pittsburgh,392.63
54,Brown University,389.46
55,Georgia Southern University,386.0
56,University of Alabama,385.53
57,Oakland University,382.1
58,Drexel University,381.76
59,The University of Michigan-Dearborn,381.65
60,University of Idaho,376.43
61,University of the Pacific,375.0
62,Minnesota State University Mankato,373.5
63,University of North Carolina at Charlotte,372.33
64,Indiana University – Purdue University Indianapolis,368.75
65,University of Pennsylvania,367.0
66,Florida Atlantic University,362.38
67,Louisiana State University,358.71
68,Michigan Technological University,357.46
69,University of California Los Angeles,356.43
70,California State University Sacramento,355.61
71,University of Texas at Austin,353.59
72,South Dakota School of Mines and Technology,350.58
73,Duke University,343.56
74,Brigham Young University,337.67
75,Worcester Polytechnic Institute,334.81
76,Lawrence Technological University,331.74
77,State University of New York at Buffalo,331.31
78,University of Southern California,330.17
79,University of North Texas,329.67
80,Milwaukee School of Engineering,326.44
81,North Carolina Agricultural and Technical State University,321.33
82,Kansas State University,316.64
83,California State University Chico,313.25
84,Oklahoma State University - Stillwater,312.06
85,Lafayette College,311.0
86,Clarkson University,310.0
87,Wayne State University,305.38
88,Pellissippi State Community College,302.0
89,University of North Dakota,300.69
90,LeTourneau University,300.67
91,Colorado State University,298.94
92,University of Colorado at Boulder,297.59
93,University of New Hampshire,296.35
94,California State University Fullerton,296.0
95,Embry-Riddle Aeronautical University,295.0
96,West Virginia University,292.44
97,Central Michigan University,291.6
98,Case Western Reserve University,290.5
99,Central Piedmont Community College,290.5
100,University of Delaware,290.5
101,University of Evansville,288.23
102,University of North Florida,284.9
103,Washington University in St. Louis,282.5
104,Tennessee Technological University,282.07
105,South Dakota State University,280.84
106,Western Michigan University,277.44
107,Northern Illinois University,276.65
108,University of Kentucky,276.57
109,University of Central Florida,275.33
110,Cooper Union,269.23
111,Carnegie Mellon University,266.18
112,Northwestern University,265.15
113,Cedarville University,260.14
114,Santa Clara University,260.0
115,Grand Valley State University,259.5
116,Oregon Institute of Technology,255.2
117,United States Naval Academy,254.95
118,Vanderbilt University,254.73
119,Lehigh University,253.32
120,University of Colorado Denver,252.43
121,Montana State University - Bozeman,252.33
122,University of Hawaii at Manoa,251.86
123,Southern Illinois University Carbondale,250.55
124,Mississippi State University,250.43
125,Columbia University,248.88
126,University of Houston,248.25
127,University of Wisconsin-Platteville,247.79
128,University of Hartford,244.95
129,Penn State Harrisburg,244.25
130,University of Louisville,242.83
131,Southern Methodist University,242.33
132,University of Portland,240.0
133,Union College,238.67
134,Old Dominion University,233.43
135,Wichita State University,231.69
136,University of Maine,228.0
137,Arizona State University,227.83
138,Colorado School of Mines,227.12
139,University of California Irvine,226.41
140,University of California Davis,224.67
141,Texas Tech University,220.82
142,Bradley University,220.61
143,Florida Institute of Technology,218.42
144,Portland State University,214.92
145,The University of Texas at Dallas,214.25
146,United States Air Force Academy,210.79
147,University of Louisiana at Lafayette,210.25
148,York College of Pennsylvania,209.71
149,University of Arizona,209.33
150,St. Cloud State University,207.38
151,Binghamton University,206.0
152,Monroe County Community College,204.33
153,University of Illinois at Chicago,203.59
154,University of California Santa Barbara,200.0
155,California State University Los Angeles,199.71
156,Florida International University,197.43
157,Temple University,195.05
158,University of Wyoming,194.25
159,University of Texas at San Antonio,192.2
160,Stevens Institute of Technology,191.89
161,Colorado Mesa University,190.43
162,Pittsburg State University,189.75
163,San Diego State University,188.5
164,University of Utah,187.86
165,California State University Fresno,179.0
166,Washington State University,176.73
167,University of Minnesota Duluth,175.14
168,Marquette University,173.73
169,California State University Long Beach,173.5
170,Purdue University - Northwest,172.67
171,Syracuse University,171.5
172,Virginia Commonwealth University,169.0
173,Miami University,166.0
174,North Dakota State University,165.44
175,Ferris State University,161.18
