date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2023.07,Netherlands,0.85,12,2.,2.,97.0,2.,73.0,2.,135.31,2.,44.23,-,0,4.,77.66,2.,235.05,5.,52.78,-10,705,118.
2022.08,East,0.91,19,16.,14.,57.24,15.,46.01,11.,84.0,-,0,8.,41.35,-,0,-,0,-,0,0,229,229.
2022.07,Italy,0.86,24,10.,11.,65.97,4.,61.51,14.,97.12,11.,63.67,2.,55.85,8.,67.5,9.,20.0,9.,16.97,0,449,233.
2022.07,Czech Republic,0.85,18,10.,6.,85.0,9.,53.0,7.,114.0,9.,63.66,1.,75.0,12.,4.5,-,0,-,0,0,395,173.
2021.08,East,0.91,23,10.,19.,54.61,2.,74.0,20.,62.0,5.,62.16,10.,27.92,13.,4.5,8.,130.95,8.,84.22,0,500,126.
2021.08,Czech Republic,0.90,19,10.,11.,48.0,5.,61.0,8.,114.0,5.,63.63,4.,40.47,7.,51.29,-,0,-,0,0,378,141.
2019.07,Netherlands,0.87,28,4.,7.,82.94,7.,66.9,3.,128.0,6.,61.28,10.,37.1,11.,9.75,4.,188.72,6.,94.27,0,669,101.
2018.08,Germany,0.97,57,36.,40.,66.0,39.,45.49,42.,65.0,24.,44.41,33.,29.54,21.,57.95,-,0,-,0,0,308,148.
2018.07,East,0.92,28,9.,27.,31.8,9.,63.32,11.,111.0,8.,60.63,17.,33.04,13.,56.07,9.,124.61,8.,61.21,0,542,84.
2018.07,Italy,0.85,46,11.,21.,75.84,18.,49.24,12.,117.35,7.,74.8,20.,27.28,14.,81.95,12.,100.28,10.,66.86,-50,544,98.
2017.08,Czech Republic,0.92,33,8.,12.,79.0,15.,59.0,10.,119.0,27.,30.44,15.,44.93,13.,63.68,6.,211.3,17.,30.15,0,638,113.
2017.07,Italy,0.91,43,18.,25.,67.11,7.,60.46,8.,134.48,18.,35.96,7.,48.14,17.,76.67,17.,13.0,-,0,0,436,190.
2016.08,Germany,0.99,73,44.,10.,77.24,12.,62.98,44.,70.0,25.,49.51,50.,4.08,53.,4.5,-,0,-,0,0,268,127.
2014.09,Italy,0.90,44,4.,3.,92.71,6.,70.41,9.,125.91,11.,58.64,12.,30.63,10.,94.64,4.,221.11,12.,57.61,0,752,35.
2014.08,Hungary,0.90,38,12.,5.,74.62,9.,64.29,8.,136.0,7.,47.09,19.,27.83,29.,64.59,13.,177.45,22.,35.95,0,628,58.
2014.08,Germany,0.98,74,12.,5.,85.37,9.,64.43,25.,100.0,29.,45.51,41.,22.78,21.,38.91,14.,178.8,23.,44.11,0,580,63.
2013.07,United Kingdom,0.97,83,31.,33.,55.8,12.,63.0,36.,99.0,34.,38.2,21.,30.0,24.,87.3,58.,1.0,-,0,0,374,100.
2012.09,Italy,0.90,37,3.,9.,63.67,4.,72.0,16.,94.0,8.,63.37,8.,33.78,11.,63.12,3.,253.47,-,0,0,643,49.
2012.08,Germany,0.98,76,23.,29.,66.1,31.,53.75,31.,80.0,12.,59.0,14.,54.95,28.,47.62,25.,168.32,36.,46.05,0,576,61.
2011.07,United Kingdom,0.95,77,8.,6.,80.0,26.,54.2,21.,106.0,5.,59.0,22.,9.6,19.,44.8,14.,137.2,18.,65.8,0,557,84.
2010.09,Italy,0.94,41,24.,13.,75.96,19.,52.04,22.,102.0,14.,61.94,25.,29.03,16.,83.71,-,0,-,0,0,405,147.
2008.07,United Kingdom,0.95,72,20.,64.,38.0,34.,44.81,37.,73.0,13.,53.7,18.,27.01,27.,38.33,17.,132.83,-,0,0,408,153.
2007.09,Italy,0.90,20,18.,18.,37.3,18.,42.75,16.,95.0,11.,62.81,17.,22.87,18.,7.5,-,0,-,0,0,268,211.
