date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2019.06,Lincoln,0.92,76,25.,43.,64.4,9.,68.9,3.,135.0,16.,57.4,28.,11.1,5.,117.0,53.,3.0,-,0,0,457,104.
2018.06,Lincoln,0.93,66,7.,29.,67.3,15.,65.3,1.,150.0,1.,100.0,1.,75.0,1.,125.0,25.,14.0,16.,56.7,0,653,74.
2018.05,Michigan,0.97,114,18.,60.,62.5,41.,59.3,10.,100.0,66.,46.9,18.,41.6,3.,91.1,28.,71.4,15.,69.7,0,542,104.
2017.08,Germany,0.97,64,31.,42.,71.0,36.,49.14,33.,80.0,24.,49.13,19.,45.9,20.,58.55,-,0,-,0,5,349,142.
2017.06,Lincoln,0.92,70,38.,48.,68.1,6.,67.6,7.,110.0,6.,96.2,3.,62.8,-,0,52.,5.0,-,0,0,410,102.
2016.08,Germany,0.99,73,22.,29.,67.17,45.,43.98,24.,90.0,16.,55.35,24.,31.31,47.,23.95,16.,172.1,30.,15.45,-15,484,49.
2016.06,Lincoln,0.92,69,1.,29.,68.2,54.,40.0,5.,125.0,1.,75.0,3.,44.7,6.,140.2,1.,300.0,16.,60.4,0,854,20.
2016.05,Michigan,0.98,114,15.,44.,65.0,27.,56.5,12.,100.0,2.,73.0,10.,34.6,28.,80.4,30.,168.0,43.,56.4,0,634,62.
2015.08,Germany,0.97,71,28.,21.,71.93,14.,63.74,15.,105.0,9.,61.15,25.,39.19,30.,24.71,-,0,-,0,0,366,99.
2015.05,Michigan,0.95,108,27.,38.,76.3,38.,55.1,4.,125.0,16.,56.7,21.,23.9,26.,90.2,47.,17.0,23.,73.6,0,518,52.
2014.06,Lincoln,0.94,66,18.,32.,67.2,3.,74.4,4.,130.0,1.,75.0,19.,33.4,15.,124.2,30.,13.0,24.,62.3,0,579,30.
2014.05,Michigan,0.97,107,7.,31.,72.2,63.,50.5,15.,100.0,13.,59.9,24.,27.8,17.,100.1,8.,234.9,8.,81.7,0,727,15.
