date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Czech Republic,0.88,33,24.,27.,18.,26.,28.,25.,25.,16.,-,0,292,411.
2019,Netherlands,0.87,28,21.,-,20.,22.,-,14.,-,10.,-,0,126,519.
2016,Germany,0.99,73,73.,72.,68.,70.,-,-,-,-,-,0,83,490.
2016,Italy,0.88,38,36.,-,35.,19.,-,-,24.,14.,-,-50,79,485.
2015,Germany,0.97,71,71.,69.,71.,65.,-,-,-,-,-,0,91,422.
2014,Germany,0.98,74,71.,73.,74.,68.,-,-,-,-,-,0,65,353.
2013,Austria,0.97,39,29.,31.,36.,30.,18.,18.,31.,19.,-,0,260,217.
2013,Germany,0.97,74,35.,63.,45.,29.,19.,54.,42.,25.,39.,0,404,162.
2012,Germany,0.98,76,37.,68.,61.,54.,28.,44.,34.,35.,40.,0,387,151.
2008,Germany,0.94,77,76.,73.,-,63.,-,-,-,-,-,0,90,382.
2007,Germany,0.95,53,53.,46.,-,37.,-,-,-,-,-,0,83,332.
