date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2023.05,Michigan,0.95,114,80.,54.,59.3,80.,36.4,25.,80.0,76.,4.5,73.,3.5,79.,6.5,41.,25.0,-,0,0,215,261.
2022.05,Michigan,0.93,89,43.,79.,39.2,51.,46.9,54.,70.0,21.,65.3,39.,28.3,41.,61.1,31.,37.0,37.,25.1,0,372,164.
2019.05,Michigan,0.97,108,37.,61.,61.7,87.,39.7,45.,70.0,20.,76.7,51.,30.5,58.,48.9,33.,95.8,26.,52.4,0,476,117.
2018.05,Michigan,0.97,114,26.,48.,64.3,49.,56.0,48.,60.0,13.,86.8,80.,13.4,80.,6.5,15.,124.2,30.,54.2,0,465,151.
2017.05,Michigan,0.98,109,44.,45.,66.3,66.,43.4,18.,100.0,12.,90.5,83.,3.5,74.,28.7,41.,48.0,44.,49.1,0,430,221.
2016.05,Michigan,0.98,114,104.,51.,64.6,92.,38.4,74.,60.0,-,0,-,0,-,0,-,0,-,0,0,163,370.
2015.05,Michigan,0.95,108,87.,30.,77.2,74.,42.3,57.,70.0,-,0,-,0,-,0,-,0,-,0,0,190,356.
2014.05,Michigan,0.97,107,91.,46.,69.2,84.,41.2,74.,60.0,-,0,-,0,-,0,-,0,-,0,0,170,339.
2013.05,Michigan,0.97,104,82.,68.,63.9,62.,42.8,39.,80.0,-,0,-,0,81.,7.5,58.,12.0,-,0,0,206,228.
2012.05,Michigan,0.98,104,36.,51.,69.8,66.,39.5,28.,80.0,30.,50.7,22.,29.7,55.,7.5,38.,95.8,24.,59.1,0,432,112.
2011.05,Michigan,0.97,97,25.,59.,66.7,40.,54.9,15.,100.0,16.,57.5,47.,27.8,51.,28.2,23.,127.3,26.,9.8,0,472,101.
2010.05,Michigan,0.96,101,38.,22.,80.0,44.,46.3,15.,100.0,-,0,-,0,-,0,35.,96.7,2.,90.4,0,413,117.
2009.05,Michigan,0.97,90,25.,41.,70.6,79.,29.7,62.,45.0,38.,44.7,58.,10.2,23.,81.4,23.,164.9,-,0,0,447,101.
2008.05,Michigan,1.00,104,47.,32.,80.6,83.,36.3,37.,80.0,65.,30.9,66.,7.0,71.,29.6,31.,99.1,-,0,0,363,98.
2007.05,Michigan,0.99,105,27.,36.,79.66,57.,47.04,38.,80.0,52.,42.11,63.,18.06,62.,55.63,26.,171.47,-,0,0,494,54.
2006.05,Michigan,0.99,118,21.,13.,86.83,34.,56.35,16.,90.0,24.,42.87,31.,6.21,29.,87.36,22.,265.64,-,0,0,635,26.
2005.05,Michigan,0.99,114,32.,13.,87.7,105.,31.41,14.,100.0,63.,38.36,42.,27.93,44.,72.73,36.,189.43,-,0,0,548,45.
2003.05,Michigan,1.00,111,48.,12.,83.31,40.,50.1,15.,100.0,48.,34.29,33.,14.51,52.,57.07,-,0,-,0,0,339,49.
2002.05,Michigan,0.99,121,10.,4.,86.42,79.,38.5,18.,100.0,5.,62.74,29.,21.69,25.,84.68,12.,253.41,-,0,0,647,14.
2001.05,Michigan,1.00,108,35.,30.,79.29,14.,66.0,15.,100.0,25.,47.94,45.,11.18,52.,20.66,29.,51.49,-,0,0,377,25.
2000.05,Michigan,0.99,94,6.,11.,73.36,62.,39.12,13.,125.0,7.,68.87,-,0,14.,96.59,7.,245.39,-,0,0,648,12.
1999.05,Michigan,1.00,89,15.,9.,69.46,43.,46.02,46.,75.0,28.,50.33,27.,29.95,38.,58.77,13.,250.71,-,0,0,580,23.
1998.05,Michigan,1.00,81,27.,18.,62.17,29.,55.0,38.,105.0,22.,49.07,-,0,41.,67.68,33.,125.01,-,0,0,464,41.
1997.05,Michigan,0.98,66,40.,14.,39.64,22.,57.98,30.,85.0,-,0,38.,5.39,32.,44.04,-,0,-,0,0,232,53.
1996.05,Michigan,0.99,68,42.,40.,8.03,49.,44.06,50.,67.32,-,0,-,0,-,0,24.,102.17,-,0,0,222,61.
1994.05,Michigan,0.96,58,55.,12.,43.86,55.,20.31,47.,62.0,-,0,-,0,-,0,-,0,-,0,0,126,51.
