date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2017.12,Brasil,0.85,40,6.,9.,63.0,15.,41.9,6.,90.3,5.,79.9,3.,71.8,2.,109.8,17.,3.0,-,0,0,460,186.
2016.11,Brasil,0.85,31,5.,11.,44.25,18.,31.58,3.,125.15,4.,63.61,3.,43.12,1.,150.0,11.,7.0,-,0,0,465,173.
2015.10,Brasil,0.85,31,10.,2.,71.0,4.,85.9,2.,71.74,14.,3.5,3.,48.51,15.,7.5,13.,8.0,-,0,0,296,156.
2014.10,Brasil,0.85,26,8.,8.,73.0,5.,64.0,15.,45.0,6.,43.0,2.,48.0,1.,150.0,-,0,-,0,0,425,49.
2014.05,Michigan,0.97,107,10.,5.,82.2,41.,58.5,15.,100.0,14.,59.7,7.,38.9,22.,91.1,12.,191.5,3.,92.2,0,714,12.
2013.11,Brasil,0.85,24,1.,2.,83.7,8.,53.0,1.,140.0,2.,55.3,1.,50.0,1.,150.0,1.,300.0,2.,85.7,0,918,9.
2013.05,Michigan,0.97,104,8.,33.,71.3,76.,38.8,10.,100.0,31.,45.1,3.,42.4,16.,118.2,10.,249.7,7.,72.4,0,738,12.
2012.12,Brasil,0.85,26,1.,1.,92.7,5.,67.87,1.,124.0,1.,75.0,1.,50.0,1.,150.0,1.,300.0,2.,94.79,0,954,13.
2012.06,Lincoln,0.94,65,8.,2.,78.3,31.,53.6,7.,115.0,13.,56.9,4.,44.1,22.,71.9,11.,220.3,10.,73.4,0,714,20.
2011.11,Brasil,0.85,21,1.,1.,88.6,4.,67.27,2.,121.75,4.,59.72,3.,48.11,1.,150.0,1.,300.0,4.,80.48,0,916,29.
2011.05,Michigan,0.97,97,30.,2.,95.5,69.,37.7,15.,100.0,38.,43.0,20.,40.5,22.,83.4,42.,23.0,-,0,0,423,53.
2010.11,Brasil,0.85,17,1.,1.,82.0,2.,69.47,1.,130.08,3.,63.86,1.,50.0,1.,150.0,1.,300.0,1.,100.0,0,945,25.
2010.05,Michigan,0.96,101,67.,3.,91.7,48.,45.3,15.,100.0,-,0,-,0,-,0,-,0,-,0,0,237,77.
2009.11,Brasil,0.85,14,1.,3.,60.13,2.,70.83,1.,119.73,1.,75.0,1.,50.0,2.,133.27,1.,300.0,2.,69.05,0,878,12.
2009.05,Michigan,0.97,90,10.,23.,76.9,12.,62.7,6.,110.0,10.,57.7,33.,22.3,30.,71.9,14.,224.5,-,0,0,626,24.
2008.11,Brasil,0.85,10,1.,1.,79.5,4.,57.29,1.,126.67,1.,75.0,1.,50.0,1.,150.0,1.,350.0,1.,50.0,0,938,34.
2008.06,California,0.93,59,23.,14.,73.0,39.,44.5,6.,110.0,12.,51.5,33.,15.7,17.,87.4,-,0,-,0,0,382,104.
2007.11,Brasil,0.85,11,2.,3.,80.6,1.,75.0,2.,83.83,2.,54.42,2.,7.56,3.,111.32,2.,238.8,2.,4.89,0,656,81.
2007.05,Michigan,0.99,105,66.,43.,78.52,79.,36.24,68.,60.0,62.,32.15,45.,28.31,53.,69.88,-,0,-,0,0,305,151.
