date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2018.05,Michigan,0.97,114,12.,69.,61.7,17.,66.8,10.,100.0,19.,79.9,9.,50.0,19.,61.2,18.,113.0,31.,54.1,0,587,25.
2017.05,Michigan,0.98,109,8.,80.,61.4,7.,67.4,5.,127.0,1.,100.0,26.,40.7,30.,68.7,10.,189.0,40.,58.4,0,712,30.
2016.05,Michigan,0.98,114,23.,87.,59.3,38.,53.1,12.,100.0,5.,69.7,30.,26.4,26.,80.6,29.,169.0,58.,36.3,0,595,96.
2015.05,Michigan,0.95,108,50.,85.,65.7,7.,67.3,18.,100.0,6.,65.8,-,0,57.,53.4,54.,11.0,-,0,0,363,142.
2014.05,Michigan,0.97,107,44.,73.,62.0,57.,51.8,8.,118.0,16.,59.2,11.,37.8,37.,64.7,86.,4.0,-,0,0,398,93.
2013.05,Michigan,0.97,104,6.,76.,62.2,12.,61.8,10.,100.0,1.,75.0,22.,27.9,23.,102.7,6.,270.0,12.,56.8,0,756,47.
2012.05,Michigan,0.98,104,52.,99.,48.4,16.,62.0,11.,100.0,64.,28.4,24.,28.8,28.,51.5,79.,3.0,-,0,0,322,120.
2011.08,Germany,0.96,74,25.,58.,47.03,27.,57.82,11.,100.0,4.,69.62,25.,46.38,7.,75.82,-,0,17.,54.72,0,451,59.
2011.05,Michigan,0.97,97,14.,90.,50.3,16.,67.6,9.,110.0,1.,75.0,10.,45.7,27.,76.2,18.,171.8,15.,42.6,0,639,36.
2010.05,Michigan,0.96,101,9.,77.,66.1,12.,64.4,4.,110.0,5.,65.3,11.,36.9,15.,102.1,9.,230.4,32.,33.1,0,708,41.
2009.05,Michigan,0.97,90,60.,52.,67.6,9.,65.4,29.,80.0,-,0,-,0,57.,36.0,-,0,-,0,0,249,98.
2008.05,Michigan,1.00,104,7.,35.,80.4,19.,59.8,15.,100.0,5.,69.0,4.,46.5,16.,127.0,6.,327.0,-,0,0,810,19.
2007.05,Michigan,0.99,105,45.,46.,77.84,3.,74.26,14.,100.0,-,0,10.,41.4,10.,119.42,-,0,-,0,0,413,64.
2006.05,Michigan,0.99,118,35.,15.,86.76,11.,65.02,6.,110.0,4.,63.56,-,0,2.,145.97,-,0,-,0,0,471,13.
2005.05,Michigan,0.99,114,1.,4.,91.49,26.,59.71,4.,130.0,2.,70.07,5.,46.86,2.,138.22,1.,369.45,-,0,0,906,1.
2004.05,Michigan,1.00,129,1.,4.,85.45,6.,70.1,2.,137.0,1.,75.0,2.,49.69,2.,141.24,1.,368.12,-,0,0,927,1.
2003.05,Michigan,1.00,111,9.,41.,77.4,7.,68.52,2.,145.0,3.,69.27,8.,31.74,33.,82.64,14.,212.7,-,0,0,687,3.
2002.05,Michigan,0.99,121,1.,20.,79.22,15.,63.2,1.,150.0,1.,75.0,1.,50.0,2.,124.45,1.,385.75,-,0,0,928,1.
2001.05,Michigan,1.00,108,1.,11.,84.6,3.,73.3,5.,120.0,5.,57.94,1.,50.0,1.,150.0,1.,368.29,-,0,0,904,1.
2000.05,Michigan,0.99,94,13.,12.,73.16,3.,73.98,4.,143.0,1.,75.0,-,0,4.,126.26,-,0,-,0,0,491,6.
1999.05,Michigan,1.00,89,3.,36.,49.71,5.,66.07,4.,146.0,1.,75.0,23.,31.59,20.,97.21,2.,349.01,-,0,0,815,1.
1998.05,Michigan,1.00,81,1.,22.,60.02,1.,75.0,1.,150.0,4.,63.26,1.,50.0,1.,150.0,1.,376.34,-,0,0,925,1.
1997.05,Michigan,0.98,66,1.,9.,47.96,10.,60.95,2.,146.0,6.,59.94,1.,50.0,9.,115.25,1.,367.28,-,0,0,847,2.
1996.05,Michigan,0.99,68,4.,17.,36.51,24.,60.19,5.,140.0,7.,54.0,13.,19.03,18.,97.21,6.,300.4,-,0,0,707,3.
1995.05,Michigan,0.99,69,3.,9.,55.38,4.,69.06,4.,142.0,1.,75.0,14.,31.39,7.,130.29,2.,322.94,27.,18.99,0,845,2.
1994.05,Michigan,0.96,58,3.,3.,68.15,5.,69.4,31.,85.0,2.,69.77,15.,36.74,16.,109.14,4.,315.56,3.,13.74,0,768,1.
1992.05,Michigan,1.00,10,1.,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,855,1.
