date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2008,California,0.93,59,31.,30.,10.,47.,26.,29.,24.,-,-,0,285,100.
2007,United Kingdom,0.97,69,13.,20.,9.,13.,21.,18.,14.,13.,23.,0,617,54.
2007,California,0.95,59,21.,23.,16.,7.,18.,20.,21.,-,-,0,430,67.
2006,United Kingdom,0.93,58,7.,37.,9.,10.,18.,25.,11.,7.,12.,0,731,39.
2006,Michigan,0.99,118,48.,79.,57.,9.,31.,4.,42.,-,-,0,365,52.
2005,United Kingdom,0.93,57,9.,9.,11.,18.,19.,13.,24.,10.,11.,0,586,21.
2005,Michigan,0.99,114,19.,43.,18.,43.,11.,21.,35.,19.,-,0,650,12.
2004,United Kingdom,0.90,53,5.,32.,2.,18.,17.,19.,12.,6.,12.,0,684,16.
2004,Michigan,1.00,129,8.,53.,25.,12.,6.,32.,14.,9.,-,0,779,11.
2003,Michigan,1.00,111,18.,33.,12.,90.,55.,31.,34.,16.,-,0,502,29.
2002,Michigan,0.99,121,33.,23.,23.,18.,32.,11.,13.,-,-,0,412,25.
2001,Michigan,1.00,108,7.,8.,7.,34.,43.,6.,26.,5.,-,0,730,8.
2000,Michigan,0.99,94,12.,2.,24.,24.,50.,-,34.,8.,-,0,559,16.
1999,Michigan,1.00,89,17.,8.,20.,67.,56.,41.,26.,10.,-,0,578,15.
1998,Michigan,1.00,81,19.,35.,15.,24.,23.,21.,9.,31.,-,0,582,20.
1997,Michigan,0.98,66,11.,7.,12.,30.,18.,11.,29.,11.,-,0,578,20.
1996,Michigan,0.99,68,39.,35.,53.,38.,37.,-,44.,27.,-,0,226,54.
