date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2011.12,Australia,0.87,23,22.,17.,59.52,14.,42.65,14.,101.0,19.,22.66,-,0,18.,5.0,20.,14.0,-,0,0,245,333.
2010.12,Australia,0.90,27,25.,25.,42.3,16.,53.9,19.,67.0,-,0,-,0,-,0,-,0,-,0,0,163,321.
2008.11,Australia,0.94,24,13.,12.,67.9,23.,28.5,14.,82.0,10.,34.5,14.,2.5,10.,55.1,-,0,-,0,0,270,143.
2007.12,Australia,0.92,22,5.,9.,78.4,12.,49.0,11.,85.0,6.,54.6,6.,35.6,7.,92.8,6.,238.8,-,0,0,634,95.
2006.12,Australia,0.93,27,17.,12.,72.0,16.,49.5,5.,110.0,-,0,-,0,15.,7.5,-,0,-,0,0,239,167.
2006.08,Germany,0.94,38,25.,9.,73.4,9.,61.3,6.,125.0,26.,38.52,8.,40.15,25.,42.62,-,0,-,0,0,381,136.
2005.12,Australia,0.92,24,13.,18.,65.8,5.,64.9,6.,105.0,12.,42.9,4.,42.7,10.,49.2,-,0,-,0,0,370,133.
2004.12,Australia,0.93,22,18.,8.,71.0,9.,63.28,7.,105.0,-,0,-,0,-,0,-,0,-,0,0,239,165.
2003.12,Australia,0.95,21,18.,18.,56.11,13.,55.56,21.,47.9,16.,24.97,15.,2.5,17.,35.87,-,0,-,0,0,223,157.
2002.12,Australia,0.87,18,17.,17.,24.0,14.,55.48,17.,66.0,-,0,-,0,-,0,-,0,-,0,0,145,161.
2001.12,Australia,0.85,18,17.,17.,25.9,11.,62.6,18.,80.0,7.,33.7,-,0,-,0,-,0,-,0,0,202,117.
