date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2021,Austria,0.93,27,27.,12.,21.,27.,-,-,-,-,-,-49,68,389.
2019,Austria,0.95,34,17.,10.,15.,23.,-,22.,20.,10.,6.,-10,340,278.
2019,East,0.93,25,22.,18.,23.,10.,-,-,-,-,-,0,237,307.
2019,Netherlands,0.87,28,15.,16.,25.,11.,13.,8.,12.,-,-,0,265,289.
2018,Germany,0.97,57,33.,33.,19.,21.,31.,27.,37.,-,-,0,325,256.
2018,Austria,0.94,30,13.,18.,19.,27.,-,-,19.,6.,-,0,344,276.
2018,Italy,0.85,46,24.,20.,15.,16.,23.,-,26.,29.,-,0,335,307.
2017,Austria,0.97,31,30.,15.,20.,29.,-,25.,14.,-,-,-75,129,347.
2017,Italy,0.91,43,22.,29.,31.,13.,11.,20.,-,-,-,0,305,264.
2016,Austria,0.97,21,18.,19.,17.,17.,20.,19.,19.,12.,5.,0,314,294.
2015,Austria,0.94,20,19.,-,17.,20.,17.,12.,17.,11.,-,0,176,393.
2014,Austria,0.91,19,19.,19.,-,19.,16.,14.,17.,18.,-,0,126,447.
