date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Czech Republic,0.88,33,5.,15.,15.,9.,12.,10.,13.,3.,8.,0,763,42.
2019,Germany,0.97,60,11.,44.,56.,20.,28.,21.,21.,8.,11.,0,611,66.
2019,Austria,0.95,34,7.,12.,31.,15.,10.,16.,11.,8.,10.,0,493,94.
2018,Germany,0.97,57,19.,36.,20.,26.,10.,32.,25.,18.,21.,0,561,73.
2017,Germany,0.97,64,14.,15.,8.,49.,29.,26.,31.,12.,15.,0,549,109.
2017,Austria,0.97,31,12.,21.,18.,22.,11.,20.,9.,9.,8.,0,418,163.
2016,Germany,0.99,73,31.,9.,34.,33.,49.,23.,-,24.,33.,0,382,164.
2016,Austria,0.97,21,17.,1.,7.,14.,16.,17.,20.,16.,-,0,350,157.
2015,Italy,0.87,43,10.,3.,1.,12.,7.,3.,5.,23.,11.,0,591,112.
2015,Hungary,0.90,37,24.,3.,1.,21.,17.,25.,17.,24.,-,0,417,141.
2015,Austria,0.94,20,10.,13.,1.,10.,10.,11.,9.,9.,9.,0,456,120.
2015,Germany,0.97,71,36.,25.,3.,39.,-,20.,18.,-,28.,0,324,121.
2014,Italy,0.90,44,6.,14.,4.,14.,10.,3.,8.,5.,16.,0,711,65.
2014,Hungary,0.90,38,10.,11.,1.,16.,9.,13.,21.,12.,18.,0,665,128.
2014,Germany,0.98,74,41.,10.,44.,40.,19.,33.,32.,-,-,0,303,207.
2013,Italy,0.94,42,18.,30.,3.,14.,12.,18.,19.,29.,-,0,344,200.
2013,Austria,0.97,39,24.,4.,17.,27.,21.,18.,18.,19.,-,0,333,181.
2013,Hungary,0.92,37,21.,14.,4.,25.,6.,18.,15.,-,-,0,403,158.
2013,Germany,0.97,74,27.,20.,14.,42.,11.,36.,28.,30.,32.,0,491,157.
2012,Hungary,0.91,39,20.,35.,17.,30.,7.,22.,27.,15.,15.,0,425,184.
2012,Germany,0.98,76,70.,67.,71.,54.,-,-,51.,-,-,-5,135,225.
2011,Italy,0.92,49,12.,45.,25.,29.,17.,27.,19.,11.,8.,-20,502,118.
2011,Hungary,0.89,28,9.,19.,23.,22.,7.,18.,13.,9.,12.,0,602,155.
2011,Germany,0.96,74,74.,69.,62.,59.,-,-,-,-,-,-50,70,265.
2010,Italy,0.94,41,19.,19.,14.,28.,20.,29.,23.,21.,-,-5,454,156.
2009,Italy,0.92,36,20.,14.,14.,21.,11.,12.,17.,-,-,0,386,187.
2009,Germany,0.98,77,48.,71.,31.,16.,50.,57.,58.,25.,-,0,303,222.
2008,Italy,0.92,31,20.,-,15.,17.,18.,11.,17.,-,-,0,286,256.
2008,Germany,0.94,77,67.,62.,74.,63.,56.,40.,54.,-,-,0,174,304.
2007,Germany,0.95,53,41.,30.,24.,21.,36.,36.,39.,-,-,0,222,260.
2007,United Kingdom,0.97,69,55.,61.,45.,47.,-,-,-,-,-,0,132,277.
2006,Germany,0.94,38,32.,30.,31.,29.,-,-,-,-,-,0,157,249.
2006,United Kingdom,0.93,58,46.,51.,33.,25.,-,-,-,-,-,0,183,232.
