date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Germany,0.97,60,13.,23.,34.,15.,39.,32.,30.,12.,5.,-40,542,128.
2019,Austria,0.95,34,26.,15.,23.,9.,-,-,-,-,-,-10,225,179.
2019,East,0.93,25,5.,5.,10.,15.,17.,10.,14.,6.,1.,0,641,95.
2018,Spain,0.96,37,18.,16.,17.,3.,21.,5.,18.,-,-,0,397,144.
2018,Germany,0.97,57,17.,13.,11.,13.,37.,9.,19.,22.,9.,-5,601,127.
2018,Austria,0.94,30,20.,12.,13.,16.,-,-,9.,-,-,-10,266,225.
2018,East,0.92,28,27.,23.,9.,14.,-,-,-,-,-,0,210,154.
2016,Spain,0.97,36,13.,12.,2.,10.,7.,8.,8.,-,-,0,433,49.
2016,Germany,0.99,73,9.,2.,5.,16.,5.,29.,21.,8.,22.,0,677,12.
2016,Austria,0.97,21,5.,2.,8.,10.,5.,4.,4.,7.,13.,0,777,11.
2015,Spain,0.90,28,5.,7.,6.,5.,2.,3.,6.,7.,5.,0,746,15.
2015,Austria,0.94,20,3.,3.,2.,6.,2.,7.,6.,3.,4.,0,818,20.
2015,Germany,0.97,71,18.,5.,4.,5.,8.,26.,11.,-,24.,0,465,58.
2014,Spain,0.91,25,3.,9.,5.,5.,5.,5.,6.,4.,5.,0,698,33.
2014,Austria,0.91,19,6.,8.,2.,3.,2.,8.,8.,6.,7.,0,709,42.
2014,Germany,0.98,74,11.,26.,7.,6.,23.,34.,27.,16.,15.,0,589,72.
2012,Italy,0.90,37,13.,15.,15.,6.,2.,4.,6.,19.,-,0,449,100.
2012,Spain,0.85,16,4.,13.,3.,3.,5.,9.,5.,4.,-,0,681,83.
2012,Germany,0.98,76,22.,33.,47.,8.,32.,50.,44.,18.,37.,-5,585,131.
2012,Austria,0.95,37,27.,28.,1.,21.,-,27.,26.,24.,-,-10,235,232.
2011,Italy,0.92,49,36.,27.,13.,6.,20.,35.,-,-,-,-50,282,179.
2011,Hungary,0.89,28,14.,24.,3.,5.,7.,8.,7.,-,-,0,451,133.
2011,Germany,0.96,74,29.,6.,21.,11.,15.,35.,16.,-,-,0,404,134.
2010,Japan,0.93,63,38.,49.,10.,3.,13.,11.,47.,-,-,0,267,148.
2010,Austria,0.93,27,9.,14.,14.,11.,17.,7.,2.,9.,26.,0,678,71.
2010,Germany,0.97,75,36.,13.,10.,18.,52.,33.,16.,-,-,0,378,145.
2009,Germany,0.98,77,38.,22.,49.,34.,11.,27.,28.,-,-,0,385,133.
2009,United Kingdom,0.96,78,31.,58.,55.,18.,25.,28.,8.,41.,-,-9,465,135.
2008,Italy,0.92,31,21.,20.,25.,21.,20.,17.,18.,-,-,0,282,175.
2008,Germany,0.94,77,59.,40.,32.,30.,-,-,-,-,-,0,210,141.
2007,Australia,0.92,22,6.,22.,12.,6.,1.,8.,6.,8.,-,0,619,71.
2007,Germany,0.95,53,24.,18.,17.,14.,10.,26.,7.,-,-,0,437,107.
2006,Italy,0.86,17,11.,13.,12.,12.,3.,8.,12.,10.,-,0,452,108.
2006,Germany,0.94,38,21.,15.,34.,15.,2.,23.,28.,17.,3.,0,419,105.
