date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2015,United Kingdom,0.94,92,14.,36.,42.,34.,24.,33.,22.,9.,15.,0,582,103.
2014,Germany,0.98,74,26.,21.,60.,58.,34.,12.,31.,21.,17.,0,438,146.
2012,Italy,0.90,37,24.,21.,17.,31.,13.,15.,18.,30.,-,0,281,151.
2012,Hungary,0.91,39,12.,2.,6.,34.,15.,24.,24.,8.,8.,0,623,80.
2012,Germany,0.98,76,32.,66.,65.,63.,40.,30.,38.,29.,28.,0,446,127.
2011,Hungary,0.89,28,11.,3.,11.,21.,26.,23.,18.,10.,11.,0,534,153.
2011,United Kingdom,0.95,77,27.,23.,31.,35.,40.,25.,26.,21.,21.,-2,379,243.
2010,United Kingdom,0.97,72,61.,50.,65.,44.,-,-,-,-,-,-12,114,363.
2009,Germany,0.98,77,66.,49.,36.,60.,61.,61.,58.,-,-,0,169,320.
2008,Germany,0.94,77,65.,22.,62.,63.,-,52.,54.,-,-,0,187,292.
