date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2019.08,Japan,0.96,87,73.,82.,5.0,76.,25.78,62.,46.0,61.,4.5,58.,3.5,66.,30.9,64.,2.0,-,0,-20,98,312.
2018.09,Japan,0.95,86,29.,62.,16.47,84.,15.0,56.,52.0,63.,4.5,23.,40.59,36.,65.24,12.,235.58,6.,82.17,0,512,133.
2017.09,Japan,0.92,83,28.,24.,39.53,42.,37.5,51.,61.0,54.,5.52,41.,30.53,37.,72.09,26.,161.81,4.,92.17,-10,490,243.
2016.09,Japan,0.94,83,64.,18.,42.23,66.,18.75,52.,58.0,-,0,-,0,-,0,-,0,-,0,0,119,461.
2015.09,Japan,0.95,75,62.,28.,34.15,58.,22.63,51.,53.0,-,0,-,0,-,0,-,0,-,0,0,110,445.
2012.09,Japan,0.94,68,11.,37.,33.79,52.,19.74,21.,80.0,39.,24.73,15.,33.58,27.,72.59,10.,251.24,5.,77.91,0,594,136.
2011.09,Japan,0.95,65,54.,46.,30.8,48.,26.25,53.,41.0,-,0,-,0,45.,7.5,-,0,-,0,0,106,395.
2009.09,Japan,0.92,58,42.,8.,70.4,9.,55.26,28.,82.0,-,0,-,0,-,0,-,0,-,0,0,208,231.
2008.09,Japan,0.91,62,29.,29.,46.82,16.,48.75,39.,103.1,-,0,-,0,17.,63.69,-,0,-,0,0,262,166.
2007.09,Japan,0.92,58,12.,6.,78.79,25.,37.5,40.,91.46,22.,31.47,6.,33.06,15.,93.59,11.,215.56,-,0,0,581,124.
2006.09,Japan,0.90,50,32.,27.,52.03,10.,58.0,41.,67.07,23.,3.5,14.,2.5,12.,111.52,50.,-20.0,-,0,0,275,242.
2005.09,Japan,0.85,39,39.,32.,37.7,35.,22.1,-,0,-,0,-,0,-,0,-,0,-,0,0,60,271.
