date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,55.,77.,78.,72.,32.,58.,61.,33.,33.,0,267,280.
2018,Japan,0.95,86,48.,74.,48.,66.,50.,58.,40.,35.,51.,0,369,227.
2017,Japan,0.92,83,48.,65.,42.,75.,37.,22.,25.,49.,41.,0,320,250.
2016,Japan,0.94,83,37.,77.,53.,63.,28.,21.,33.,15.,-,0,298,250.
2015,Japan,0.95,75,28.,53.,53.,73.,28.,28.,1.,26.,27.,0,397,208.
2014,Japan,0.93,75,55.,61.,38.,57.,51.,43.,52.,-,-,0,163,258.
2013,Japan,0.93,69,24.,56.,25.,38.,25.,36.,38.,28.,13.,0,450,152.
2012,Japan,0.94,68,28.,46.,36.,52.,17.,40.,39.,18.,13.,-20,453,152.
2011,Japan,0.95,65,44.,37.,40.,40.,36.,18.,26.,33.,-,-25,251,171.
2010,Japan,0.93,63,18.,54.,44.,24.,20.,11.,13.,20.,10.,0,566,72.
2009,Japan,0.92,58,15.,35.,35.,14.,14.,28.,28.,14.,-,-35,476,146.
2007,Japan,0.92,58,39.,40.,25.,48.,23.,24.,33.,-,-,0,203,288.
2006,Japan,0.90,50,46.,48.,50.,43.,-,-,-,-,-,0,81,305.
