date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,29.,17.,22.,47.,45.,27.,32.,35.,15.,0,437,199.
2018,Japan,0.95,86,55.,3.,60.,56.,46.,19.,-,-,-,0,250,288.
2017,Japan,0.92,83,51.,6.,20.,67.,50.,45.,29.,50.,-,0,306,265.
2016,Japan,0.94,83,29.,32.,3.,75.,41.,28.,41.,26.,12.,0,376,205.
2015,Japan,0.95,75,51.,18.,2.,46.,-,-,-,-,-,0,175,234.
2014,Japan,0.93,75,13.,25.,16.,36.,52.,43.,8.,8.,3.,-20,612,158.
2013,Japan,0.93,69,53.,6.,18.,60.,46.,26.,55.,43.,-,0,212,371.
2012,Japan,0.94,68,54.,9.,22.,66.,-,-,-,-,-,0,121,308.
2011,Japan,0.95,65,47.,28.,2.,6.,-,-,-,-,-,0,222,150.
2010,Japan,0.93,63,8.,17.,7.,17.,15.,-,6.,10.,12.,0,717,23.
2009,Japan,0.92,58,12.,3.,8.,2.,8.,5.,3.,-,-,0,522,31.
2008,Japan,0.91,62,3.,6.,3.,6.,10.,3.,3.,2.,-,0,805,11.
2007,Japan,0.92,58,3.,9.,3.,2.,4.,3.,3.,9.,-,0,766,25.
2006,Japan,0.90,50,11.,1.,9.,5.,10.,14.,19.,11.,-,0,672,48.
2006,Michigan,0.99,118,37.,58.,81.,40.,65.,40.,41.,37.,-,0,438,44.
2005,Japan,0.85,39,1.,3.,5.,1.,1.,7.,9.,5.,-,0,820,26.
2004,Japan,0.86,27,8.,10.,5.,6.,3.,3.,7.,12.,12.,0,524,52.
2003,Japan,0.85,15,6.,3.,5.,12.,12.,7.,12.,4.,-,0,525,46.
