date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.05,Michigan,0.95,108,10.,58.,64.5,11.,60.0,11.,100.0,10.,89.3,14.,61.0,24.,69.8,11.,183.0,24.,39.2,0,667,46.
2023.05,Michigan,0.95,114,14.,29.,70.5,27.,54.3,59.,60.0,27.,75.0,27.,40.2,14.,103.3,7.,227.7,33.,53.9,0,685,67.
2022.05,Michigan,0.93,89,26.,31.,71.2,34.,54.2,27.,80.0,4.,88.1,24.,42.1,14.,103.7,39.,8.0,21.,56.7,0,504,149.
2019.06,Lincoln,0.92,76,27.,63.,59.6,44.,49.5,9.,110.0,22.,47.5,24.,17.8,25.,95.8,46.,7.0,32.,42.2,0,429,179.
2019.05,Michigan,0.97,108,38.,93.,56.2,53.,54.0,45.,70.0,28.,73.5,47.,30.6,34.,68.1,38.,74.6,36.,46.4,0,473,205.
2018.06,Canada,0.91,23,16.,19.,43.14,22.,37.5,18.,60.0,17.,24.38,13.,27.91,11.,87.47,10.,23.0,-,0,-20,283,313.
2017.06,Lincoln,0.92,70,55.,61.,60.0,41.,47.2,27.,90.0,40.,50.1,43.,6.0,54.,8.1,41.,8.0,-,0,-40,229,311.
2017.05,Michigan,0.98,109,92.,94.,57.1,101.,27.0,51.,70.0,84.,31.6,83.,3.5,88.,6.5,-,0,-,0,-10,186,285.
2016.05,Michigan,0.98,114,71.,74.,61.8,81.,43.3,39.,80.0,83.,3.5,64.,11.3,81.,36.5,71.,17.0,37.,64.6,0,318,227.
2015.06,Lincoln,0.94,64,29.,42.,60.4,48.,46.7,25.,83.0,39.,32.4,24.,24.2,22.,98.2,19.,14.0,29.,32.8,0,392,228.
2014.06,Lincoln,0.94,66,49.,49.,61.1,19.,66.1,41.,70.0,47.,16.9,31.,23.1,47.,61.8,36.,10.0,-,0,-50,259,286.
2014.05,Michigan,0.97,107,59.,61.,65.7,42.,58.4,15.,100.0,66.,28.7,36.,21.6,62.,25.7,56.,13.0,-,0,-20,293,273.
2013.06,Lincoln,0.93,60,51.,35.,64.1,27.,56.8,26.,90.0,-,0,-,0,47.,58.0,44.,8.0,-,0,0,277,286.
2013.05,Michigan,0.97,104,80.,65.,64.2,35.,50.6,10.,100.0,-,0,-,0,-,0,-,0,-,0,0,215,279.
2012.05,Michigan,0.98,104,63.,5.,86.7,56.,43.1,44.,70.0,-,0,53.,18.9,34.,40.9,54.,10.0,-,0,0,270,236.
2011.06,California,0.95,60,35.,2.,87.7,22.,53.7,25.,82.0,35.,30.3,38.,2.5,28.,37.3,43.,9.0,-,0,0,302,184.
2010.06,California,0.94,56,28.,19.,69.5,43.,33.9,7.,115.0,25.,39.4,20.,19.0,24.,40.4,-,0,-,0,0,317,113.
2009.04,Virginia,0.92,21,5.,19.,46.4,5.,71.7,17.,40.0,10.,51.0,5.,38.3,8.,94.3,3.,327.8,-,0,-50,620,66.
2008.06,California,0.93,59,10.,47.,51.0,32.,49.2,31.,60.0,24.,40.8,16.,33.4,6.,121.2,7.,248.0,-,0,0,604,101.
2007.05,Michigan,0.99,105,76.,89.,68.07,72.,40.96,38.,80.0,60.,33.69,69.,12.1,72.,22.73,-,0,-,0,0,258,215.
2006.05,Michigan,0.99,118,105.,103.,67.24,99.,31.62,73.,50.0,-,0,-,0,-,0,-,0,-,0,0,149,226.
2005.05,Michigan,0.99,114,92.,104.,58.52,84.,40.02,99.,50.0,73.,30.45,49.,24.27,79.,7.5,-,0,-,0,0,211,188.
2003.05,Michigan,1.00,111,99.,105.,46.4,98.,26.23,90.,40.0,-,0,-,0,-,0,-,0,-,0,0,113,179.
2001.05,Michigan,1.00,108,103.,86.,64.24,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,64,118.
2000.05,Michigan,0.99,94,60.,44.,64.59,57.,41.29,68.,55.0,-,0,-,0,32.,49.03,-,0,-,0,0,210,72.
1999.05,Michigan,1.00,89,52.,79.,2.37,76.,30.86,75.,55.0,46.,26.85,60.,8.35,57.,21.8,27.,110.13,-,0,0,255,62.
