date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2009.06,California,0.93,45,31.,12.,66.0,8.,67.9,14.,90.0,-,0,-,0,-,0,-,0,-,0,0,224,268.
2009.05,Michigan,0.97,90,68.,34.,72.4,24.,57.1,29.,80.0,-,0,-,0,-,0,-,0,-,0,0,210,283.
2008.05,Michigan,1.00,104,92.,75.,72.6,68.,41.3,61.,60.0,-,0,-,0,-,0,-,0,-,0,0,174,281.
2007.05,Michigan,0.99,105,95.,26.,82.22,70.,42.05,94.,40.0,-,0,-,0,-,0,-,0,-,0,0,164,249.
2004.07,United Kingdom,0.90,53,39.,14.,75.0,14.,54.12,24.,91.0,-,0,-,0,-,0,-,0,-,0,0,220,136.
2004.05,Michigan,1.00,129,102.,20.,78.75,99.,35.2,48.,80.0,-,0,-,0,-,0,-,0,-,0,0,194,109.
2002.07,United Kingdom,0.87,35,10.,13.,71.0,23.,46.2,6.,100.0,12.,48.21,13.,22.6,16.,86.84,8.,223.82,-,0,0,599,58.
2002.05,Michigan,0.99,121,78.,45.,73.71,95.,32.5,18.,100.0,-,0,-,0,-,0,-,0,-,0,0,206,112.
2000.05,Michigan,0.99,94,69.,82.,47.26,86.,13.4,85.,10.0,41.,43.21,-,0,-,0,23.,72.41,-,0,0,186,76.
1999.05,Michigan,1.00,89,49.,47.,36.68,42.,46.27,27.,105.0,34.,41.58,40.,22.12,64.,11.46,-,0,-,0,0,263,66.
1997.05,Michigan,0.98,66,44.,21.,26.6,19.,58.92,36.,80.0,33.,11.68,-,0,42.,5.84,-,0,-,0,0,183,67.
1996.05,Michigan,0.99,68,47.,12.,37.81,27.,59.31,42.,73.58,-,0,-,0,46.,5.49,-,0,-,0,0,176,59.
1994.05,Michigan,0.96,58,41.,26.,14.7,42.,47.59,45.,68.0,43.,12.62,16.,35.88,30.,90.44,-,0,14.,8.01,0,277,40.
