date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.05,Michigan,0.95,108,23.,56.,65.5,28.,50.3,11.,100.0,11.,87.4,53.,38.0,35.,61.6,23.,131.4,26.,37.7,0,572,89.
2023.05,Michigan,0.95,114,44.,24.,71.3,35.,51.2,25.,80.0,5.,92.2,32.,37.0,51.,65.8,41.,25.0,-,0,0,423,156.
2022.05,Michigan,0.93,89,39.,25.,74.2,36.,53.4,27.,80.0,31.,53.5,34.,35.6,23.,93.8,55.,3.0,-,0,0,393,165.
2019.05,Michigan,0.97,108,41.,36.,64.9,20.,64.6,45.,70.0,75.,33.9,44.,33.6,61.,47.1,28.,103.5,9.,76.2,-30,464,146.
2018.05,Michigan,0.97,114,40.,95.,56.9,35.,62.2,48.,60.0,73.,40.8,89.,4.6,51.,31.1,25.,79.3,23.,63.3,0,398,147.
2017.05,Michigan,0.98,109,60.,88.,59.0,38.,52.9,18.,100.0,66.,51.8,27.,40.3,53.,49.9,94.,1.0,-,0,0,355,132.
2016.05,Michigan,0.98,114,17.,63.,62.8,79.,43.9,12.,100.0,56.,43.7,41.,20.3,16.,96.6,24.,185.0,22.,72.1,0,624,98.
2015.05,Michigan,0.95,108,51.,76.,67.1,99.,22.4,57.,70.0,57.,30.4,47.,10.3,60.,47.2,47.,17.0,3.,94.8,0,359,234.
2014.05,Michigan,0.97,107,79.,21.,76.6,29.,62.1,38.,80.0,44.,45.6,67.,2.5,71.,7.5,63.,10.0,-,0,-50,234,310.
2012.06,Lincoln,0.94,65,37.,37.,63.7,42.,45.2,35.,60.0,38.,27.5,26.,27.9,33.,40.0,-,0,-,0,0,264,231.
2011.05,Michigan,0.97,97,40.,41.,73.0,31.,60.1,15.,100.0,37.,45.0,43.,28.5,44.,47.7,70.,11.0,-,0,0,365,174.
2010.05,Michigan,0.96,101,52.,60.,71.3,46.,45.9,41.,80.0,52.,36.1,21.,30.3,38.,48.7,-,0,-,0,0,312,188.
2009.05,Michigan,0.97,90,50.,82.,49.6,47.,45.2,12.,100.0,46.,38.0,27.,25.0,49.,57.7,-,0,-,0,0,316,173.
2008.05,Michigan,1.00,104,64.,24.,82.6,79.,38.0,15.,100.0,42.,44.8,32.,30.5,75.,7.5,-,0,-,0,0,303,144.
2007.05,Michigan,0.99,105,53.,39.,79.45,32.,57.75,14.,100.0,11.,62.61,43.,28.71,71.,24.17,-,0,-,0,0,353,112.
2006.05,Michigan,0.99,118,34.,12.,87.01,91.,33.99,40.,70.0,62.,25.84,36.,3.74,64.,35.64,31.,215.15,-,0,0,471,89.
2004.05,Michigan,1.00,129,98.,76.,67.82,118.,24.0,48.,80.0,94.,3.5,82.,2.5,72.,31.99,-,0,-,0,0,210,98.
2002.05,Michigan,0.99,121,14.,107.,54.96,83.,37.4,101.,40.0,57.,36.55,30.,21.3,22.,88.13,8.,290.34,-,0,0,569,32.
2001.05,Michigan,1.00,108,45.,54.,74.77,55.,48.2,63.,60.0,59.,32.51,51.,7.6,24.,87.28,-,0,-,0,0,310,48.
