date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2017,Germany,0.97,64,43.,18.,32.,38.,26.,42.,48.,-,-,0,282,261.
2017,Czech Republic,0.92,33,25.,9.,7.,9.,15.,23.,27.,-,-,0,378,248.
2017,East,0.99,38,23.,10.,8.,31.,16.,22.,20.,-,-,0,303,292.
2016,Czech Republic,0.90,25,19.,9.,19.,13.,21.,10.,19.,-,-,0,259,321.
2016,East,0.89,28,21.,6.,26.,13.,-,-,-,-,-,-50,140,340.
2015,Hungary,0.90,37,32.,20.,29.,32.,-,-,31.,-,-,0,174,278.
2014,Hungary,0.90,38,22.,30.,19.,31.,18.,30.,22.,17.,20.,0,491,201.
2014,Germany,0.98,74,51.,46.,59.,63.,31.,56.,45.,27.,-,0,225,275.
2013,Italy,0.94,42,24.,16.,31.,32.,13.,12.,22.,26.,-,0,292,248.
2013,Germany,0.97,74,55.,7.,44.,55.,41.,-,50.,-,-,0,255,232.
2012,Germany,0.98,76,30.,46.,20.,44.,43.,34.,41.,30.,35.,0,500,185.
2012,Austria,0.95,37,29.,1.,23.,24.,-,-,26.,-,-,0,210,332.
2011,Germany,0.96,74,50.,38.,63.,51.,53.,32.,43.,-,-,0,232,314.
2011,Austria,0.94,27,24.,23.,20.,24.,-,-,-,-,-,0,138,359.
2010,Germany,0.97,75,65.,59.,34.,64.,-,-,63.,28.,-,0,180,338.
2009,Germany,0.98,77,67.,33.,67.,60.,61.,-,58.,-,-,0,162,369.
2008,Germany,0.94,77,77.,70.,-,75.,-,-,-,-,-,0,80,385.
